Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Regional,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
"Darth., cherry",SSA-P-10015,Steam|76561198401040166|0,Starter,2023-05-12T17:07:05.000Z,20230512-170705-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,1,LIMITLESS,TRUE,FALSE,0,Mannfield (Night),39,12,8,19,26,13,7,6,32,6,7,18,33,21,7,5,53,19,14,19,48,23,10,15,13,4,2,7,13,6,2,4,74,33,18,24,26,9,6,10,2591,2818,3179,1997,475338,187954,116946,170438,292888,135131,77324,80433,174642,50663,37377,86602,144624,43312,30909,70403,30018,7351,6468,16199,56,52,60,59,8,2,2,3,14,5,4,5,47,18,11,18,39,19,9,11,0,0,0,0,67,32,17,17,33,10,7,17,28,9,6,13,6,1,1,3,54,68,60,34,12,1,4,8,32,7,7,18,27,11,6,9,41,24,10,7,15,9,5,1,2372,913,1175,284,2468,986,451,1031,151,78,26,47,329,99,88,142,1092,467,197,428,1396,408,284,704,1146,353,233,560,250,55,51,144,0,0,0,0,3,2,0,1,3,0,2,1,2,2,0,0,3,1,0,2,4,1,0,3,409,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,29,15,17,19,9,9,1,43,10,22,11,413,349,64,0,689,338,158,193,1487,551,836,100
eNtiTy._,SSA-P-10112,Epic|52f6d721a975480d9090f4b63ae43787|0,Starter,2023-05-12T17:07:05.000Z,20230512-170705-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,1,MONARCH REALM,FALSE,FALSE,0,Mannfield (Night),33,19,6,8,28,14,9,4,36,11,12,13,29,23,5,2,43,23,11,9,57,31,14,12,22,15,3,4,14,8,3,2,62,38,14,10,38,16,10,12,2462,2213,3073,2683,474320,238797,123724,111799,287037,151001,78555,57481,178462,84129,42187,52146,157826,71925,38584,47317,20636,12204,3603,4829,56,52,65,62,5,1,2,1,12,4,5,3,47,22,11,13,41,28,9,5,0,0,0,0,65,37,17,11,35,18,8,10,31,15,7,9,4,3,1,1,36,37,42,30,17,6,6,5,54,28,14,13,28,19,4,5,18,8,7,3,6,2,3,1,2228,892,841,495,2113,1165,469,479,91,15,48,28,203,62,96,45,1202,589,357,256,1470,735,327,408,1279,615,297,367,191,120,30,41,5,3,2,0,4,2,1,1,9,2,1,6,7,5,1,1,4,4,0,0,4,4,0,0,152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,50,17,19,14,3,9,2,22,10,10,2,159,28,103,28,1010,590,194,226,1241,272,797,172
jrs,SSA-P-10132,Steam|76561198994142963|0,Starter,2023-05-12T17:07:05.000Z,20230512-170705-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,1,MONARCH REALM,FALSE,FALSE,0,Mannfield (Night),28,16,5,7,42,27,9,6,36,15,8,13,37,28,7,2,50,31,9,10,50,31,11,8,11,5,3,3,10,5,2,2,68,46,13,9,32,16,6,10,2941,3007,3253,2727,442381,269098,89262,84021,297551,197904,58099,41548,139287,68443,29919,40925,106237,53752,26806,25679,33050,14691,3113,15246,52,52,60,53,5,1,1,2,10,4,2,3,42,26,8,7,49,31,9,9,0,0,0,0,69,46,13,10,31,16,6,9,24,12,6,6,7,3,1,3,37,41,36,27,20,9,3,8,53,30,11,13,22,15,5,3,25,17,4,3,4,3,1,1,2160,1467,323,370,2059,1339,342,378,130,49,44,37,200,58,35,107,1171,789,188,194,1282,656,259,367,977,511,234,232,305,145,25,135,3,0,2,1,4,2,1,1,2,1,1,0,5,3,1,1,2,2,0,0,3,2,0,1,374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,100,0,100,0,40,0,40,0,0,0,0,0,100,0,100,0,0,0,0,0,69,51,9,9,18,12,3,3,18,6,0,12,241,151,72,18,810,606,108,96,1559,1049,228,282
Must������g,SSA-P-10133,Epic|32e7cd17d202448bb07509c4f9f38637|0,Starter,2023-05-12T17:07:05.000Z,20230512-170705-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,1,MONARCH REALM,FALSE,FALSE,0,Mannfield (Night),40,23,6,11,31,21,5,4,28,11,8,9,35,30,4,1,48,28,10,11,52,36,7,9,16,12,3,1,17,8,6,2,72,50,12,11,28,14,6,8,2503,2620,2985,1971,459176,278670,85029,95477,293588,190995,51845,50748,157864,83851,31297,42716,133140,74563,24592,33985,24724,9288,6705,8731,54,52,64,58,4,2,1,1,9,4,2,2,48,28,10,10,43,31,6,7,0,0,0,0,67,44,11,11,33,19,6,8,28,17,5,6,5,2,1,2,40,45,36,33,13,6,4,3,49,27,10,11,24,15,4,5,27,21,3,3,5,4,1,0,2232,1494,493,245,2278,1397,370,511,40,10,18,12,191,86,59,46,1464,893,264,307,1397,792,256,349,1160,702,197,261,237,90,59,88,4,3,1,0,4,3,0,1,2,1,1,0,5,4,0,1,6,6,0,0,2,2,0,0,254,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,44,8,18,15,10,4,1,12,6,0,6,102,38,0,64,828,522,96,210,1398,962,400,36
Nuke,SSA-P-10095,Steam|76561198853332182|0,Starter,2023-05-12T17:07:05.000Z,20230512-170705-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,1,LIMITLESS,TRUE,FALSE,0,Mannfield (Night),26,6,6,14,43,18,12,12,40,8,10,22,30,19,7,4,45,14,13,18,55,23,13,20,13,1,3,9,11,4,1,6,68,29,17,22,32,8,8,15,3206,3574,3680,2620,451398,158341,115182,177875,301690,117058,78680,105952,143691,39321,35490,68880,134270,35567,33209,65494,9421,3754,2281,3386,53,51,55,56,5,2,1,3,14,4,3,7,41,15,10,16,45,18,12,15,0,0,0,0,71,28,19,24,29,9,7,13,27,8,6,13,2,1,0,1,54,60,59,45,9,2,3,4,32,9,7,15,31,12,7,13,38,16,12,10,10,6,3,1,2555,1026,747,782,2471,825,562,1084,232,45,42,145,225,70,40,115,1386,469,296,621,1187,348,281,558,1104,318,264,522,83,30,17,36,0,0,0,0,3,0,1,2,4,0,1,3,4,0,0,4,3,0,0,3,2,0,0,2,428,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,97,0,0,97,31,0,0,31,0,0,0,0,97,0,0,97,0,0,0,0,72,33,13,26,20,7,7,6,59,35,16,8,408,140,78,190,805,361,140,304,1592,560,622,410
Snowyy,SSA-P-10054,Steam|76561198409065326|0,Starter,2023-05-12T17:07:05.000Z,20230512-170705-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,1,LIMITLESS,TRUE,FALSE,0,Mannfield (Night),35,16,7,12,32,15,10,6,28,5,7,16,37,23,11,3,59,24,18,18,41,18,9,14,23,13,4,6,36,14,12,9,79,37,21,20,21,4,6,11,2760,2871,3191,2304,502268,203839,136560,161869,313794,139293,92673,81828,179382,61645,41430,76307,154943,49698,39731,65514,24439,11947,1699,10793,59,58,61,60,6,2,1,3,15,5,4,5,53,21,15,17,32,15,8,9,0,0,0,0,66,30,20,17,34,12,7,15,29,9,7,12,5,3,0,3,37,42,41,29,19,6,5,8,50,18,12,20,26,11,9,6,24,12,6,6,3,1,1,1,2827,1008,1044,775,2674,1196,669,809,191,62,50,79,264,93,61,110,1727,809,450,468,1417,497,297,623,1176,383,283,510,241,114,14,113,6,3,0,3,0,0,0,0,6,6,0,0,6,2,2,2,11,7,2,2,5,4,0,1,438,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,32,15,32,23,8,9,6,5,1,0,4,180,58,66,56,943,383,180,380,2120,742,834,544
Dilly.���,SSA-P-10130,Epic|3e74036aa5fa47e397cd03076856bee2|0,Starter,2023-05-12T17:08:36.000Z,20230512-170836-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,2,OMNIUS GAMING,FALSE,FALSE,0,Mannfield (Night),30,13,8,9,41,27,8,7,30,7,9,15,35,29,6,1,44,24,11,9,56,30,12,14,23,11,5,7,22,10,5,7,71,46,15,10,29,8,9,12,3004,3294,2855,2624,477454,249583,110604,117267,279566,168321,66875,44370,189650,77720,42139,69791,159404,69729,37999,51676,30246,7991,4140,18115,55,54,57,61,7,4,2,2,16,7,4,5,45,23,10,12,39,24,10,6,0,0,0,0,63,38,14,10,37,16,9,12,32,14,8,9,6,1,1,3,34,44,30,15,28,7,9,12,61,26,17,18,16,11,3,2,23,18,4,2,4,3,1,0,2788,1728,838,222,2798,1654,614,530,276,114,117,45,309,150,85,74,1782,1163,330,289,1588,676,394,518,1343,611,345,387,245,65,49,131,3,2,1,0,4,4,0,0,5,0,3,2,5,2,2,1,4,3,1,0,10,6,0,4,188,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,12,12,0,0,20,20,0,0,0,0,0,0,12,12,0,0,0,0,0,0,76,49,17,10,24,14,8,2,32,14,18,0,265,247,18,0,880,574,186,120,2135,1153,782,200
Olympic.,SSA-P-10042,Steam|76561198125878419|0,Starter,2023-05-12T17:08:36.000Z,20230512-170836-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,2,OMNIUS GAMING,FALSE,FALSE,0,Mannfield (Night),42,21,8,13,23,15,4,4,29,8,7,14,36,29,6,1,42,24,9,9,58,29,15,14,14,8,4,2,9,4,3,2,73,43,17,12,27,11,7,10,2404,2548,2751,1955,456501,221710,108053,126738,269909,129170,71951,68788,178565,89397,33397,55771,146440,71380,30671,44389,32125,18017,2726,11382,53,48,58,64,4,1,1,2,12,3,3,6,40,20,9,11,48,31,12,5,0,0,0,0,63,34,17,13,37,20,7,10,30,16,6,7,7,4,1,3,40,37,50,43,12,6,4,2,50,31,10,9,26,12,6,8,24,11,8,6,7,3,3,1,2351,1130,919,302,2447,1240,464,743,108,10,3,95,166,44,30,92,1335,590,323,422,1574,854,291,429,1256,678,263,315,318,176,28,114,3,1,1,1,3,1,1,1,5,4,1,0,3,1,0,2,3,1,0,2,4,3,1,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,83,0,70,0,0,0,0,13,0,0,26,72,44,7,21,19,8,9,2,4,4,0,0,232,52,151,29,860,524,84,252,1668,748,749,171
Ram,SSA-P-10045,Steam|76561199013801159|0,Starter,2023-05-12T17:08:36.000Z,20230512-170836-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,2,NKOSI BALLERS,TRUE,FALSE,0,Mannfield (Night),33,15,7,10,33,21,9,4,32,11,8,13,40,29,8,3,51,26,11,14,49,26,12,11,15,9,5,1,22,14,5,4,80,45,18,17,20,7,5,8,2586,2925,2739,1810,462676,222108,110843,129725,298855,146886,73067,78902,155720,71798,35467,48455,139965,60506,35193,44266,15755,11292,274,4189,54,50,58,61,5,1,2,2,11,3,4,4,45,22,9,14,44,27,10,7,0,0,0,0,69,37,16,16,31,15,7,9,27,12,7,8,4,3,0,1,48,48,50,45,10,3,4,2,43,22,9,11,20,12,4,4,37,19,9,9,10,7,2,1,2721,1148,909,664,2460,1304,386,770,101,35,22,44,192,43,83,66,1146,540,178,428,1267,611,280,376,1108,497,278,333,159,114,2,43,5,3,1,1,6,2,2,2,3,1,2,0,3,1,2,0,4,2,2,0,5,4,0,1,721,0,0,0,4,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,163,66,0,97,58,44,0,72,77,0,0,77,82,66,0,97,31,0,0,31,84,42,13,29,19,7,7,5,27,9,6,12,215,63,45,107,981,495,150,336,1685,637,655,393
Risen,SSA-P-10046,Steam|76561198144954048|0,Starter,2023-05-12T17:08:36.000Z,20230512-170836-2022-23-Spring-Open-Double Elim-Upper R1-G1,2022-23,Spring,Open,1,Double Elim,Upper R1,5,1,2,NKOSI BALLERS,TRUE,FALSE,0,Mannfield (Night),30,11,8,11,37,24,8,4,38,16,10,12,29,20,6,3,61,31,15,14,39,19,9,11,14,3,5,6,20,3,6,11,75,38,19,18,25,12,5,7,2689,3015,2999,1934,427797,208507,108555,110735,234748,123785,64065,46898,184549,80684,41646,62219,163828,69685,41646,52497,20721,10999,0,9722,50,49,56,51,5,3,1,1,7,4,2,1,41,18,11,12,51,28,11,12,0,0,0,0,61,33,16,12,39,17,8,13,33,14,8,11,6,3,0,3,41,42,46,35,16,5,6,5,46,23,10,12,31,14,8,9,23,13,7,4,6,2,3,0,2471,1471,774,226,2291,1185,443,663,22,16,0,6,209,139,38,32,1275,723,276,276,1616,719,337,560,1366,584,337,445,250,135,0,115,5,1,1,3,7,1,2,4,3,0,3,0,3,0,2,1,2,1,0,1,4,1,1,2,579,0,0,0,3,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,134,134,0,0,53,53,0,0,0,0,0,0,67,67,0,0,0,0,0,0,74,42,18,14,19,10,8,1,20,12,8,0,221,59,150,12,868,492,208,168,1679,941,650,88
