Player Name,Player ID,Date,Season,Split,Regional,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
JWх,Epic|6efc0b4a18fd403e9f99d322c9a70cc4|0,2021-11-12T17:15:35.000Z,21-22,Fall,2,1,Swiss,1,5,1,10,ANARCHY GAMING,TRUE,FALSE,33,8,7,18,35,11,12,11,36,4,8,23,25,12,8,5,46,14,12,20,54,14,15,25,10,2,0,8,13,2,1,10,75,24,22,30,25,4,5,16,2902,3089,3607,2452,466336,127909,128015,210412,287216,81676,91440,114100,171389,44471,34371,92547,157977,44471,31796,81710,13412,0,2575,10837,56,55,60,55,2,1,0,1,7,2,1,4,52,14,16,22,40,12,9,20,0,0,0,0,66,19,20,27,34,9,7,18,31,9,6,16,3,0,1,2,38,41,40,36,14,3,5,6,47,13,13,21,33,9,7,17,20,6,6,8,4,2,1,2,1946,554,662,730,1751,562,429,760,43,0,7,36,83,29,17,37,911,310,249,352,1384,358,277,749,1248,358,245,645,136,0,32,104,2,1,0,1,4,1,0,3,1,0,0,1,5,1,0,4,1,0,0,1,1,0,0,1,124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,100,100,0,0,63,63,0,0,39,0,39,0,100,100,0,0,0,0,0,0,92,27,26,39,10,3,4,3,16,8,8,0,95,19,46,30,1088,316,304,468,905,281,354,270
JTW,Steam|76561198288984117|0,2021-11-12T17:15:35.000Z,21-22,Fall,2,1,Swiss,1,5,1,10,ANARCHY GAMING,TRUE,FALSE,30,9,6,15,38,18,13,8,29,5,7,17,40,23,13,4,49,21,13,14,51,18,15,18,15,6,3,6,11,4,3,4,75,34,22,19,25,5,7,14,3139,3799,3420,2196,487396,188921,139973,158502,326568,145765,106243,74560,153434,40625,31709,81100,146012,40625,31709,73678,7422,0,0,7422,58,58,61,58,6,2,2,2,15,6,4,5,51,20,15,16,34,13,9,12,0,0,0,0,71,31,22,18,29,8,6,15,27,8,6,13,2,0,0,2,39,49,37,30,19,4,7,8,49,16,15,19,27,9,7,11,24,14,7,3,6,4,2,1,2435,1310,712,413,2450,1023,501,926,180,77,51,52,245,79,63,103,1629,767,369,493,1165,313,243,609,1091,313,243,535,74,0,0,74,4,1,1,2,3,0,1,2,3,0,2,1,5,2,0,3,7,4,0,3,2,2,0,0,344,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,6,0,0,6,51,0,0,51,32,0,0,32,6,0,0,6,3,0,0,3,62,34,11,17,17,10,5,2,0,0,0,0,232,145,66,21,744,408,132,204,1468,855,434,179
h4mburger,Epic|1eb31bb5bdf1430bbc4029cd0a19119c|0,2021-11-12T17:15:35.000Z,21-22,Fall,2,1,Swiss,1,5,1,10,ANARCHY GAMING,TRUE,FALSE,38,10,7,20,28,14,9,5,36,6,6,25,37,24,10,3,43,13,9,20,57,25,14,18,14,4,2,8,32,9,8,15,77,34,20,23,23,4,4,15,2726,3197,3254,2051,496017,175446,119498,201073,282649,118438,65882,98329,203352,53920,50531,98901,185419,47804,46325,91290,17933,6116,4206,7611,60,56,65,63,9,3,2,5,19,6,4,9,50,18,13,20,31,14,6,10,0,0,0,0,62,27,14,21,38,11,9,18,34,9,8,17,4,2,1,1,38,48,37,29,25,5,7,13,48,12,12,23,30,14,6,9,22,11,5,6,3,1,1,1,2339,953,604,782,2453,1028,493,932,209,71,47,91,384,114,67,203,1623,642,331,650,1543,452,365,726,1367,372,324,671,176,80,41,55,6,1,1,4,5,1,1,3,3,2,0,1,2,0,0,2,3,1,0,2,2,1,0,1,490,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,10,0,0,10,71,0,0,71,0,0,0,0,5,0,0,5,0,0,0,0,67,33,9,25,16,7,4,5,23,14,9,0,285,191,7,87,781,382,99,300,1315,509,393,413
JWх,Epic|6efc0b4a18fd403e9f99d322c9a70cc4|0,2021-11-12T17:23:00.000Z,21-22,Fall,2,1,Swiss,1,5,2,18,ANARCHY GAMING,TRUE,FALSE,33,13,7,13,35,18,11,6,34,9,10,15,34,24,7,3,53,30,12,11,47,19,11,17,10,3,3,4,10,4,2,3,70,38,16,17,30,11,8,11,2616,2709,3105,2159,470965,228345,111920,130700,292642,163637,65775,63230,169859,61389,43639,64831,159339,55954,42213,61172,10520,5435,1426,3659,54,54,57,53,1,0,0,1,6,2,1,2,49,25,11,13,45,22,10,12,0,0,0,0,67,36,15,16,33,12,8,12,31,11,8,12,2,1,0,1,37,42,30,37,21,7,8,6,54,24,15,15,23,12,4,6,23,13,4,7,7,5,1,2,1821,1051,408,362,1658,899,240,519,47,12,8,27,52,15,8,29,1032,630,140,262,1423,527,364,532,1319,471,354,494,104,56,10,38,2,0,1,1,4,1,2,1,6,1,3,2,4,2,1,1,6,2,1,3,0,0,0,0,368,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,48,14,19,10,6,3,1,14,14,0,0,158,89,69,0,958,562,168,228,842,511,231,100
JTW,Steam|76561198288984117|0,2021-11-12T17:23:00.000Z,21-22,Fall,2,1,Swiss,1,5,2,18,ANARCHY GAMING,TRUE,FALSE,33,16,7,10,33,19,10,4,30,10,8,13,35,23,9,2,52,24,14,14,48,28,11,9,15,8,2,5,12,6,1,5,73,39,18,16,27,13,7,7,2548,2578,3075,2003,457023,217701,120735,118587,309597,154786,81976,72835,141784,60792,36666,44326,134031,57614,35517,40900,7753,3178,1149,3426,52,48,57,60,4,1,1,2,8,3,2,3,43,20,11,12,48,29,12,7,0,0,0,0,71,38,18,15,29,14,7,8,27,14,7,7,2,1,0,1,40,42,45,32,24,13,5,6,49,25,11,12,24,10,7,7,28,17,7,4,5,4,1,0,2324,1024,834,466,2277,1056,581,640,152,63,17,72,166,46,49,71,1476,644,383,449,1253,617,294,342,1184,589,284,311,69,28,10,31,4,0,1,3,3,0,1,2,4,1,1,2,4,3,0,1,5,3,1,1,2,1,0,1,376,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,39,10,17,15,6,8,1,6,6,0,0,203,61,142,0,786,462,120,204,1297,539,658,100
h4mburger,Epic|1eb31bb5bdf1430bbc4029cd0a19119c|0,2021-11-12T17:23:00.000Z,21-22,Fall,2,1,Swiss,1,5,2,18,ANARCHY GAMING,TRUE,FALSE,34,19,6,9,32,15,9,8,36,12,10,14,32,22,7,2,43,21,9,12,57,32,11,14,20,10,8,2,26,11,8,7,70,41,13,17,30,12,8,10,2649,2423,3396,2733,491955,250497,107916,133542,264768,142632,60883,61253,216487,103092,44434,68961,198556,93923,41396,63237,17931,9169,3038,5724,56,54,64,57,7,3,2,3,13,5,4,4,49,26,10,13,38,22,7,9,0,0,0,0,60,33,13,14,40,20,8,12,36,17,8,11,4,2,0,1,40,46,35,36,17,6,5,6,48,23,13,12,24,10,4,10,28,19,4,5,2,0,1,0,2488,1072,811,605,2497,1415,380,702,103,40,32,31,303,119,70,114,1502,874,260,368,1727,849,343,535,1550,738,321,491,177,111,22,44,4,1,2,1,3,3,0,0,6,0,5,1,8,5,2,1,6,5,0,1,5,3,1,1,500,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,83,0,0,0,0,28,0,0,28,76,42,9,25,17,8,6,3,0,0,0,0,161,132,29,0,912,504,108,300,1539,668,571,300
JWх,Epic|6efc0b4a18fd403e9f99d322c9a70cc4|0,2021-11-12T17:30:33.000Z,21-22,Fall,2,1,Swiss,1,5,3,24,ANARCHY GAMING,FALSE,FALSE,33,9,6,18,36,14,11,11,38,8,7,23,30,16,8,6,51,17,12,22,49,17,10,22,11,1,2,8,16,2,3,11,71,26,16,29,29,8,6,15,2708,2872,3193,2395,490322,168490,116232,205600,302013,119171,71830,111012,180643,47853,42061,90729,166932,42604,42061,82267,13711,5249,0,8462,55,57,61,52,2,1,0,1,8,3,2,3,53,19,13,21,39,12,7,20,0,0,0,0,65,25,15,26,35,9,7,19,32,8,7,17,3,1,0,2,40,50,51,29,17,2,3,12,48,13,9,27,27,10,5,12,25,11,8,6,7,3,3,0,2334,881,841,612,2279,1019,338,922,56,4,2,50,85,31,15,39,1398,637,243,518,1520,390,311,819,1389,351,311,727,131,39,0,92,3,0,1,2,4,0,2,2,0,0,0,0,5,0,2,3,5,0,1,4,0,0,0,0,314,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,12,0,12,0,48,0,48,0,83,0,0,83,12,0,12,0,1,0,0,1,84,38,18,28,16,6,7,3,15,6,0,9,183,134,30,19,993,450,216,327,1417,466,670,281
JTW,Steam|76561198288984117|0,2021-11-12T17:30:33.000Z,21-22,Fall,2,1,Swiss,1,5,3,24,ANARCHY GAMING,FALSE,FALSE,34,10,6,18,26,10,9,7,33,6,7,20,30,17,10,3,53,18,11,24,47,16,15,16,15,3,4,8,14,2,3,9,71,28,20,23,29,6,6,16,2576,2807,3336,1982,473660,157819,127115,188726,325063,114845,93314,116904,142259,41422,32133,68704,128306,35154,32133,61019,13953,6268,0,7685,53,52,57,53,4,1,1,1,10,3,3,4,45,14,13,18,45,17,10,18,0,0,0,0,72,26,20,26,28,8,6,14,25,7,6,12,4,1,0,2,39,45,42,33,27,3,8,16,48,13,13,22,25,11,5,9,28,11,8,9,6,2,3,1,2241,734,1120,387,2283,727,703,853,138,51,28,59,173,53,58,62,1542,511,488,543,1241,366,255,620,1078,299,255,524,163,67,0,96,2,0,0,2,3,0,0,3,4,0,2,2,6,2,0,4,6,1,0,5,2,0,0,2,382,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,100,0,100,0,62,31,15,16,15,4,9,2,14,12,0,2,103,15,88,0,730,360,180,190,1397,385,812,200
h4mburger,Epic|1eb31bb5bdf1430bbc4029cd0a19119c|0,2021-11-12T17:30:33.000Z,21-22,Fall,2,1,Swiss,1,5,3,24,ANARCHY GAMING,FALSE,FALSE,33,11,7,14,39,18,11,10,29,6,5,18,40,21,13,6,49,23,9,17,51,17,15,19,13,4,3,6,17,5,3,8,75,33,19,23,25,7,6,13,2822,3010,3162,2418,537801,205193,133877,198731,352380,138712,97492,116176,176628,63700,34298,78630,156937,56882,31969,68086,19691,6818,2329,10544,60,58,61,62,5,2,1,2,18,7,5,7,53,19,13,21,28,14,6,8,1,0,1,0,70,28,19,23,30,11,6,13,27,10,6,11,3,1,0,2,46,51,49,39,14,2,4,7,38,12,9,16,28,12,5,11,34,15,10,9,3,1,1,1,2841,1073,856,912,2713,1178,514,1021,203,80,38,85,226,87,38,101,1813,752,405,656,1306,484,255,567,1148,424,239,485,158,60,16,82,6,0,4,2,4,0,1,3,3,0,1,2,2,1,0,1,2,2,0,0,3,2,0,1,234,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,79,0,0,0,0,27,0,0,27,79,36,17,26,19,8,7,4,14,11,3,0,325,183,130,12,934,421,201,312,1575,617,570,388
JWх,Epic|6efc0b4a18fd403e9f99d322c9a70cc4|0,2021-11-12T17:37:43.000Z,21-22,Fall,2,1,Swiss,1,5,4,26,ANARCHY GAMING,TRUE,FALSE,29,12,6,11,40,20,14,6,36,11,10,14,32,21,10,1,47,20,15,13,53,22,14,17,16,4,6,6,13,4,4,5,64,29,19,16,36,13,10,14,2984,2996,3539,2487,486345,196003,138152,152190,310564,133242,88866,88456,167432,59872,46449,61111,162877,58973,45488,58416,4555,899,961,2695,58,56,58,62,4,1,1,2,13,5,3,5,49,19,14,16,38,18,11,8,0,0,0,0,67,30,19,18,33,12,10,11,31,11,10,10,1,0,0,1,41,44,40,37,17,2,8,7,46,18,15,13,28,13,6,10,26,11,8,7,4,1,2,1,2128,564,1106,458,2017,856,471,690,193,28,98,67,185,53,62,70,1285,542,335,408,1346,490,405,451,1288,470,394,424,58,20,11,27,3,0,1,2,4,1,2,1,4,0,3,1,0,0,0,0,2,0,0,2,1,1,0,0,242,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40,40,0,0,44,44,0,0,45,0,0,45,40,40,0,0,7,0,0,7,69,36,12,21,17,3,11,3,14,14,0,0,208,123,35,50,814,418,144,252,1492,177,1065,250
