Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Regional,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
"echo., echo >:3",SSA-P-10017,Steam|76561198369667759|0,Starter,2021-10-22T17:03:17.000Z,20211022-17:03-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,1,ATOMIC ESPORTS,TRUE,FALSE,0,DFH Stadium,29,12,5,12,40,23,11,7,38,11,9,18,30,23,6,1,53,26,12,15,47,24,11,12,25,11,6,8,11,5,1,5,65,36,14,15,35,14,8,13,3336,3607,3710,2575,521147,254619,129037,137491,315638,167390,71789,76459,199393,84154,55963,59276,189514,79607,52131,57776,9879,4547,3832,1500,59,58,67,56,6,2,2,2,15,7,5,3,55,25,15,15,30,18,3,10,0,0,0,0,64,34,13,17,36,16,9,11,34,15,8,11,2,1,1,0,55,65,52,38,9,1,2,6,35,11,8,15,19,10,5,4,46,29,9,8,10,5,2,2,2457,1142,945,370,2309,1125,458,726,99,39,22,38,521,161,191,169,1166,571,188,407,3202,1415,815,972,3027,1341,742,944,175,74,73,28,2,1,0,1,4,2,1,1,8,2,5,1,5,3,0,2,9,5,0,4,6,3,1,2,461,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,46,21,15,18,8,8,2,53,46,0,7,353,235,110,8,931,506,252,173,1447,565,690,192
h4mburger,SSA-P-10024,Epic|1eb31bb5bdf1430bbc4029cd0a19119c|0,Starter,2021-10-22T17:03:17.000Z,20211022-17:03-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,1,EXPANDAS,FALSE,FALSE,0,DFH Stadium,35,18,9,8,33,17,9,7,29,10,7,11,37,28,7,2,48,26,11,11,52,26,13,13,50,22,10,18,24,13,5,6,68,37,17,14,32,15,8,9,2895,2829,3222,2749,498966,250935,132261,115770,295464,160096,80640,54728,198577,88557,50021,59999,180725,80917,45371,54437,17852,7640,4650,5562,57,55,62,56,5,2,1,2,13,6,4,4,50,27,14,9,37,20,7,10,0,0,0,0,63,34,16,13,37,18,9,11,33,16,8,10,3,1,1,1,37,38,39,31,18,8,5,5,54,29,12,13,23,10,6,7,22,13,6,3,4,2,1,0,2524,1078,1102,344,2460,1271,560,629,127,56,33,38,449,195,97,157,1518,755,404,359,3321,1577,785,959,3019,1442,706,871,302,135,79,88,7,4,2,1,9,3,3,3,8,0,4,4,14,5,4,5,4,3,1,0,25,13,2,10,456,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,44,10,13,18,6,10,2,11,11,0,0,276,146,117,13,793,517,120,156,1524,454,883,187
JTW,SSA-P-10028,Steam|76561198288984117|0,Starter,2021-10-22T17:03:17.000Z,20211022-17:03-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,1,EXPANDAS,FALSE,FALSE,0,DFH Stadium,30,13,6,10,37,21,8,9,38,11,9,18,31,23,7,1,47,25,10,12,53,24,13,16,35,21,10,4,15,6,5,4,64,37,14,13,36,13,8,14,3019,3107,3466,2780,498528,236730,119929,141869,339174,186097,76842,76235,155741,49438,42347,63956,142665,47164,37846,57655,13076,2274,4501,6301,58,55,68,60,6,2,2,3,15,5,5,5,50,24,12,14,35,20,6,8,0,0,0,0,72,40,15,17,28,10,8,11,26,9,7,10,3,0,1,1,38,43,44,28,20,8,5,8,51,25,10,15,28,10,7,11,21,15,5,1,4,4,0,0,2554,1680,493,381,2459,1213,570,676,108,38,38,32,565,148,171,246,1728,895,424,409,2509,846,693,970,2265,809,597,859,244,37,96,111,8,5,2,1,6,4,1,1,12,4,5,3,5,2,2,1,7,3,3,1,13,11,2,0,283,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,1,0,1,109,42,0,67,30,39,0,20,66,0,66,0,55,42,0,67,0,0,0,0,75,47,13,15,18,12,4,2,0,0,0,0,167,123,39,5,900,564,156,180,1633,1077,361,195
JW��,SSA-P-10030,Epic|6efc0b4a18fd403e9f99d322c9a70cc4|0,Starter,2021-10-22T17:03:17.000Z,20211022-17:03-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,1,EXPANDAS,FALSE,FALSE,0,DFH Stadium,36,13,7,16,31,17,7,7,34,7,8,20,33,22,8,3,49,24,11,14,51,24,10,17,31,10,9,12,17,7,3,6,66,34,14,17,34,14,7,14,2708,2715,3325,2393,463948,205063,107139,151746,272989,142184,60185,70620,186534,61519,45539,79476,167679,55551,44546,67582,18855,5968,993,11894,53,48,61,56,3,1,1,2,10,4,3,4,43,17,11,15,46,27,8,12,0,0,0,0,63,34,13,15,37,14,8,15,32,12,8,12,5,2,0,3,35,39,38,28,17,4,5,9,58,26,11,20,22,10,5,6,20,12,4,4,6,3,2,1,2270,1198,568,504,2130,1087,383,660,127,67,16,44,271,79,49,143,1321,738,234,349,3374,1231,750,1393,2918,1082,734,1102,456,149,16,291,7,3,1,3,7,2,2,3,8,1,4,3,8,2,3,3,9,5,2,2,5,2,2,1,180,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,70,43,0,0,0,0,73,0,80,66,67,36,12,19,19,8,7,4,5,4,0,1,290,17,179,94,799,428,144,227,1610,783,521,306
Wee_Casper,SSA-P-10060,Steam|76561198050138810|0,Starter,2021-10-22T17:03:17.000Z,20211022-17:03-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,1,ATOMIC ESPORTS,TRUE,FALSE,0,DFH Stadium,40,17,7,17,27,16,5,6,35,7,6,22,28,22,5,2,49,21,13,15,51,25,7,18,25,15,7,3,12,6,2,3,70,38,13,19,30,9,7,14,2715,2801,3018,2582,489301,212168,108434,168699,327656,153207,72732,101717,157349,57648,34765,64936,151033,56047,34765,60221,6316,1601,0,4715,57,52,67,60,6,1,2,3,14,4,4,6,50,23,11,16,36,20,6,10,0,0,0,0,69,35,14,20,31,12,6,13,29,12,6,12,1,0,0,1,53,57,54,50,12,2,4,6,33,13,8,12,27,15,5,8,40,19,8,13,8,4,2,2,2625,1087,618,920,2459,1212,362,885,108,22,18,68,518,104,166,248,1608,703,315,590,2748,1078,546,1124,2617,1040,546,1031,131,38,0,93,4,3,1,0,3,1,1,1,7,5,2,0,7,5,2,0,8,5,2,1,6,4,2,0,463,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,2,1,0,1,2,1,1,0,77,77,0,0,61,40,81,0,60,82,0,37,39,77,0,0,44,0,0,87,67,35,9,23,25,8,8,9,26,13,8,5,515,211,166,138,778,407,100,271,1985,589,634,762
YoPeGo..,SSA-P-10064,Steam|76561198084183532|0,Starter,2021-10-22T17:03:17.000Z,20211022-17:03-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,1,ATOMIC ESPORTS,TRUE,FALSE,0,DFH Stadium,32,17,6,9,34,21,8,5,27,8,6,13,43,31,10,2,52,29,13,10,48,27,11,11,35,16,8,11,20,10,3,6,74,46,18,10,26,9,6,10,3062,3120,3537,2742,480695,265002,114651,101042,306780,178026,74112,54642,170285,85110,39527,45648,154053,81285,36867,35901,16232,3825,2660,9747,55,55,61,57,5,2,1,1,13,7,3,3,45,23,11,11,42,25,10,7,0,0,0,0,67,39,17,12,33,17,7,9,28,15,6,7,5,1,1,2,44,44,55,34,15,5,4,6,46,27,8,11,25,10,8,6,29,18,8,3,8,6,1,1,2297,1479,610,208,2304,1263,504,537,94,41,27,26,445,207,132,106,1457,790,327,340,2950,1500,639,811,2521,1365,557,599,429,135,82,212,5,3,1,1,4,3,1,0,13,3,6,4,8,3,1,4,10,6,2,2,12,6,2,4,474,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,47,0,47,0,71,0,71,0,0,0,0,0,47,0,47,0,0,0,0,0,69,46,9,14,22,12,8,2,24,23,0,1,308,188,115,5,804,529,108,167,1892,1012,685,195
ChristianW,SSA-P-10010,Steam|76561199041660906|0,Starter,2021-10-22T17:05:10.000Z,20211022-17:05-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,2,INFERNO,FALSE,FALSE,0,DFH Stadium,36,20,7,9,32,21,8,3,28,10,8,11,41,29,11,0,53,28,15,11,47,31,11,5,20,12,4,4,10,6,1,4,77,48,19,10,23,11,6,7,2706,2691,4232,2290,447746,261399,104465,81882,302184,194859,71147,36178,141238,64410,32115,44713,135764,63538,31797,40429,5474,872,318,4284,52,52,68,60,4,2,1,2,11,4,3,4,43,26,9,8,46,28,13,5,0,0,0,0,72,45,19,8,28,14,6,8,26,13,6,7,1,0,0,1,37,38,60,27,24,13,6,5,53,32,11,10,20,10,5,5,27,17,9,2,4,3,1,0,2191,1020,940,231,2177,1204,539,434,169,93,30,46,364,140,54,170,1518,897,386,235,2308,1133,501,674,2203,1094,496,613,105,39,5,61,0,0,0,0,0,0,0,0,7,3,3,1,8,5,1,2,8,4,1,3,0,0,0,0,328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,1,0,1,0,92,0,92,0,47,0,47,0,82,83,0,80,92,0,92,0,28,34,0,21,70,50,9,11,18,6,10,2,17,17,0,0,346,168,106,72,823,583,108,132,1454,432,894,128
friction,SSA-P-10022,Steam|76561198140509720|0,Starter,2021-10-22T17:05:10.000Z,20211022-17:05-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,2,ORGLESS,TRUE,FALSE,0,DFH Stadium,34,12,6,16,31,15,9,6,41,10,11,20,24,17,6,2,38,16,11,11,62,25,14,23,39,11,7,21,22,6,5,11,72,34,17,20,28,7,8,13,2900,3144,3770,2286,471110,191195,123718,156197,282065,132256,80773,69036,184698,57560,41614,85524,175151,52220,41614,81317,9547,5340,0,4207,55,54,65,54,5,2,1,2,13,5,5,4,43,17,10,16,43,19,11,14,0,0,0,0,62,29,17,16,38,12,8,18,35,11,8,17,3,2,0,1,41,51,45,30,23,4,8,11,50,16,13,21,21,9,5,7,29,16,7,5,10,6,2,2,2061,820,752,489,2067,852,451,764,124,20,46,58,456,160,122,174,1105,461,317,327,3205,1034,676,1495,2965,891,676,1398,240,143,0,97,8,1,2,5,8,2,0,6,21,0,5,16,9,5,0,4,8,3,2,3,6,2,2,2,357,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,78,78,0,0,51,0,51,0,0,0,0,0,48,0,48,0,58,30,13,15,15,5,6,4,16,0,16,0,136,52,0,84,680,360,140,180,1364,448,600,316
josho.,SSA-P-10027,Steam|76561198418903010|0,Starter,2021-10-22T17:05:10.000Z,20211022-17:05-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,2,INFERNO,FALSE,FALSE,0,DFH Stadium,28,13,8,8,37,21,10,5,35,13,9,13,33,24,8,2,51,27,13,11,49,27,13,9,25,9,9,7,14,5,4,5,68,42,17,9,32,12,9,11,3020,2982,3877,2758,483226,257908,122372,102946,330142,199466,77549,53127,149081,56874,43809,48398,140284,55391,40023,44870,8797,1483,3786,3528,56,55,64,60,6,2,2,3,16,6,4,5,43,26,10,7,41,22,12,7,0,0,0,0,71,43,17,11,29,11,9,9,27,11,8,8,2,0,1,1,51,57,59,34,13,4,4,5,37,16,9,11,22,13,5,4,41,25,12,4,12,9,3,0,2323,1102,963,258,2239,1169,501,569,115,48,30,37,489,128,135,226,1284,717,223,344,2464,946,792,726,2303,926,715,662,161,20,77,64,1,1,0,0,2,1,0,1,8,5,2,1,8,5,0,3,5,2,1,2,4,0,2,2,211,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,77,77,0,0,71,45,11,15,17,6,10,1,23,17,6,0,189,55,114,20,829,523,126,180,1511,545,886,80
Lackstar,SSA-P-10034,Steam|76561198142538023|0,Starter,2021-10-22T17:05:10.000Z,20211022-17:05-2021-22-Fall-Regional Event 1-Swiss-1-G1,2021-22,Fall,Regional Event 1,1,Swiss,1,5,1,2,ORGLESS,TRUE,FALSE,0,DFH Stadium,34,11,9,15,40,24,10,5,34,8,8,18,39,27,10,2,56,26,15,15,44,22,9,14,29,6,12,11,19,5,4,11,73,40,18,16,27,8,6,13,3189,3801,3659,2081,479490,215341,115111,149038,262948,147922,58569,56457,211118,65661,55180,90277,189625,63493,50269,75863,21493,2168,4911,14414,56,53,64,60,8,2,2,4,19,7,5,7,41,19,9,13,40,22,9,9,0,0,0,0,60,35,13,12,40,13,10,17,35,12,9,14,5,1,1,3,43,51,51,28,12,3,3,6,44,16,9,19,28,14,6,8,28,17,8,3,3,2,1,1,2691,1630,575,486,2561,1181,510,870,119,37,22,60,679,196,154,329,1493,841,251,401,3302,1058,854,1390,2882,969,763,1150,420,89,91,240,4,0,1,3,6,1,2,3,3,1,2,0,8,4,1,3,7,3,0,4,8,1,4,3,352,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,58,5,0,53,64,83,0,44,16,0,0,16,29,5,0,53,0,0,0,0,76,44,14,18,20,12,5,3,12,12,0,0,158,116,20,22,900,516,168,216,1842,1084,480,278
