Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Event,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
Declan.,SSA-P-10087,Steam|76561198360259888|0,Starter,2025-06-06T16:09:32.000Z,20250606-160932-2025-Raleigh Major-1v1-GSL-UQF-G1,2025,Raleigh Major,1v1,1,GSL,UQF,5,1,1,DECLAN,FALSE,TRUE,5,DFH Stadium,100,51,32,18,100,51,32,18,100,51,32,18,100,51,32,18,51,22,18,10,49,28,13,7,55.08,17.7,31.48,5.9,39,15,16,8,82,42,27,13,18,9,5,4,1079,1408,813,699,499737.05,260865.25,137994.1,100877.7,243362.95,125166.89,67032.79,51163.28,243270.49,129382.62,66066.89,47820.98,238127.21,128580,64748.85,44798.36,5143.28,802.62,1318.03,3022.62,53,54,49,61,7,3,2,2,17,7,5,4,36,22,7,7,46,21,19,6,1,1,0,0,54,29,16,9,46,22,16,8,45,22,15,8,1,0,0,1,28,35,21,26,26,10,11,5,69,31,26,12,12,7,2,3,19,12,4,3,4,3,0,0,2899.67,1559.02,896.07,444.59,3179.02,2020.33,610.82,547.87,231.15,90.49,68.85,71.8,325.57,125.9,94.43,105.25,1383.93,857.7,319.67,206.56,2082.3,982.62,717.05,382.62,2023.28,973.77,701.31,348.2,59.02,8.85,15.74,34.43,0,0,0,0,0,0,0,0,19.67,1.97,17.7,0,11.8,6.89,3.93,0.98,17.7,6.89,7.87,2.95,21.64,7.87,10.82,2.95,1662.3,0,0,0,6.89,0,0,0,9.84,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,54.1,20.66,16.72,28.52,12.79,12.79,2.95,6.89,6.89,0,0,395.41,233.11,116.07,46.23,1090.82,642.3,247.87,200.66,2457.05,1045.57,1162.62,248.85
nuqqet,SSA-P-10157,Steam|76561198389834118|0,Starter,2025-06-06T16:09:32.000Z,20250606-160932-2025-Raleigh Major-1v1-GSL-UQF-G1,2025,Raleigh Major,1v1,1,GSL,UQF,5,1,1,NUQQET,TRUE,TRUE,5,DFH Stadium,100,30,31,39,100,30,31,39,100,30,31,39,100,30,31,39,50,13,17,20,50,17,14,19,69.84,8.85,34.43,26.56,61,17,17,27,76,26,24,25,24,4,7,13,1185,1747,910,984,515813.11,166148.85,144452.46,205211.8,219420.98,76477.38,46395.74,96547.87,279463.28,84353.11,92402.95,102707.21,271113.44,84113.11,89311.48,97688.85,8349.84,240,3091.48,5018.36,55,59,50,57,9,4,2,3,19,8,5,6,42,13,10,19,37,8,16,14,1,1,0,0,49,16,13,20,51,14,19,18,49,13,18,17,2,0,1,1,31,38,29,27,25,3,10,12,65,17,22,26,15,5,3,6,21,8,7,6,4,0,2,2,3396.39,990.49,1392.79,1013.11,3576.39,1412.46,791.8,1372.13,175.08,71.8,12.79,90.49,400.33,178.03,102.3,120,1614.1,747.54,293.11,573.44,2245.57,589.18,830.16,826.23,2164.92,587.21,797.7,780,80.66,1.97,32.46,46.23,0,0,0,0,0,0,0,0,19.67,0.98,16.72,1.97,17.7,1.97,9.84,5.9,11.8,2.95,3.93,4.92,42.3,5.9,20.66,15.74,1435.08,0,0,0,7.87,0,0,0,13.77,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.26,41.31,22.62,40.33,28.52,6.89,14.75,6.89,5.9,5.9,0,0,135.74,3.93,43.28,88.52,1245.25,489.84,271.48,483.93,2716.72,684.59,1432.13,600
Declan.,SSA-P-10087,Steam|76561198360259888|0,Starter,2025-06-06T16:17:56.000Z,20250606-161756-2025-Raleigh Major-1v1-GSL-UQF-G2,2025,Raleigh Major,1v1,1,GSL,UQF,5,2,1.1,DECLAN,FALSE,FALSE,0,DFH Stadium,100,43,34,23,100,43,34,23,100,43,34,23,100,43,34,23,45,19,16,10,55,24,18,12,54,16,30,8,40,16,12,12,82,36,29,17,18,7,5,6,1313,1435,1221,1324,491915,216121,150408,125386,225178,103583,69068,52527,253042,107278,76796,68968,219077,97653,66243,55181,33965,9625,10553,13787,52,53,50,59,8,3,2,3,18,7,6,5,34,17,8,9,48,19,20,8,0,0,0,0,51,23,17,11,49,20,17,12,42,18,15,9,7,2,2,3,33,33,31,37,22,7,10,5,62,28,23,11,17,6,4,7,21,9,7,5,7,4,2,0,3557,1732,1164,661,3532,1718,864,950,206,81,65,60,379,128,110,141,1504,730,383,391,2213,904,779,530,1899,807,687,405,314,97,92,125,0,0,0,0,0,0,0,0,17,1,16,0,7,2,4,1,8,3,3,2,23,12,6,5,1306,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,49,25,22,30,13,12,5,5,5,0,0,196,87,74,35,1147,583,300,264,2804,1213,1126,465
nuqqet,SSA-P-10157,Steam|76561198389834118|0,Starter,2025-06-06T16:17:56.000Z,20250606-161756-2025-Raleigh Major-1v1-GSL-UQF-G2,2025,Raleigh Major,1v1,1,GSL,UQF,5,2,1.1,NUQQET,TRUE,FALSE,0,DFH Stadium,100,41,32,27,100,41,32,27,100,41,32,27,100,41,32,27,54,22,16,16,46,19,17,11,82,17,42,23,59,21,20,18,80,35,23,21,20,5,9,6,1140,1488,1018,779,512887,216729,152810,143348,228020,87871,68960,71189,268541,121940,77980,68621,243480,112518,69537,61425,25061,9422,8443,7196,54,57,50,56,8,3,2,3,18,8,5,5,40,17,11,12,42,15,17,10,0,0,0,0,51,20,16,15,49,21,16,12,44,19,15,11,5,2,1,1,34,35,34,33,18,7,6,6,62,26,20,16,14,3,5,6,24,12,8,5,4,1,2,1,3326,1613,1303,410,3433,1677,860,896,212,61,79,72,387,153,108,126,1487,639,444,404,2183,927,716,540,1967,828,646,493,216,99,70,47,0,0,0,0,0,0,0,0,17,0,16,1,8,1,6,1,7,4,1,2,46,6,22,18,1796,0,0,0,10,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,45,27,23,30,11,15,4,0,0,0,0,337,95,191,51,1140,540,324,276,2663,1005,1309,349
Declan.,SSA-P-10087,Steam|76561198360259888|0,Starter,2025-06-06T16:27:11.000Z,20250606-162711-2025-Raleigh Major-1v1-GSL-UQF-G3,2025,Raleigh Major,1v1,1,GSL,UQF,5,3,1.2,DECLAN,FALSE,FALSE,0,DFH Stadium,100,51,30,19,100,51,30,19,100,51,30,19,100,51,30,19,53,27,16,11,47,25,14,8,60,15,34,11,39,16,11,12,72,41,19,12,28,10,11,7,1337,1610,1177,902,492147,254671,130020,107456,218401,112049,57740,48612,260857,135383,68624,56850,243731,126702,64590,52439,17126,8681,4034,4411,53,53,48,61,8,3,1,3,18,8,5,5,35,20,8,8,47,23,18,6,0,0,0,0,49,26,13,10,51,26,16,9,47,23,15,9,4,3,1,1,31,31,27,40,26,13,8,4,67,35,22,9,11,4,2,4,23,12,6,5,7,4,3,0,3547,1699,1108,740,3721,2059,739,923,307,80,59,168,370,163,61,146,1579,836,332,411,2317,1159,731,427,2119,1042,689,388,198,117,42,39,0,0,0,0,0,0,0,0,28,1,25,2,13,7,4,2,15,6,4,5,22,5,11,6,1040,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,3,1,0,2,1,1,0,0,0,0,0,0,52,52,0,0,79,82,0,78,0,0,0,0,14,10,0,17,97,56,22,19,32,13,13,6,0,0,0,0,509,174,334,1,1164,672,264,228,2691,1126,966,599
nuqqet,SSA-P-10157,Steam|76561198389834118|0,Starter,2025-06-06T16:27:11.000Z,20250606-162711-2025-Raleigh Major-1v1-GSL-UQF-G3,2025,Raleigh Major,1v1,1,GSL,UQF,5,3,1.2,NUQQET,TRUE,FALSE,0,DFH Stadium,100,35,35,31,100,35,35,31,100,35,35,31,100,35,35,31,43,13,15,15,57,22,20,15,77,10,45,22,62,18,22,22,83,31,28,24,17,3,7,7,1361,1950,1123,992,486123,174370,148935,162818,192741,65095,62322,65324,275587,103138,81545,90904,259718,97304,75553,86861,15869,5834,5992,4043,53,56,48,58,7,3,1,3,16,7,4,6,40,14,11,14,44,14,19,11,0,0,0,0,48,16,16,15,52,18,18,16,49,17,17,15,3,1,1,1,30,31,29,31,25,6,10,9,66,23,24,19,13,3,3,6,21,8,7,6,5,1,4,1,3307,1228,1204,875,3379,1538,779,1062,164,50,27,87,309,131,58,120,1467,712,300,455,2261,773,799,689,2101,713,736,652,160,60,63,37,0,0,0,0,0,0,0,0,28,2,25,1,15,3,9,3,13,2,6,5,50,6,26,18,2464,0,0,0,15,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,3,2,0,1,128,81,0,47,78,76,0,82,65,0,0,65,43,41,0,47,32,0,0,32,105,49,22,34,30,7,18,5,0,0,0,0,204,56,122,26,1260,588,264,408,2796,644,1678,474
2Die4,SSA-P-10001,Steam|76561198256947172|0,Starter,2025-06-06T15:08:08.000Z,20250606-150808-2025-Raleigh Major-1v1-GSL-UQF-G1,2025,Raleigh Major,1v1,1,GSL,UQF,5,1,2,2DIE4,TRUE,FALSE,0,Mannfield (Night),100,51,26,23,100,51,26,23,100,51,26,23,100,51,26,23,56,30,14,11,44,21,12,11,66,34,20,12,52,26,13,13,77,40,20,17,23,11,6,6,1196,1284,1219,999,484680,245439,128322,110919,261151,135622,63101,62428,212368,104292,62045,46031,189759,90377,59057,40325,22609,13915,2988,5706,55,55,56,56,8,4,2,2,19,9,6,3,39,20,9,10,42,22,11,9,0,0,0,0,59,31,14,14,41,20,12,8,36,17,12,7,5,3,0,2,37,39,28,41,19,7,8,3,54,27,18,10,20,9,4,8,25,15,5,5,4,3,1,0,2862,1480,899,483,3004,1644,651,709,257,141,70,46,370,189,106,75,1764,894,365,505,1728,842,519,367,1523,726,500,297,205,116,19,70,0,0,0,0,0,0,0,0,20,5,13,2,10,5,2,3,17,11,3,3,37,23,7,7,1142,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,39,17,21,26,12,10,4,2,0,0,2,184,84,81,19,922,468,204,250,2416,1116,919,381
Kam,SSA-P-10031,Steam|76561198812926287|0,Starter,2025-06-06T15:08:08.000Z,20250606-150808-2025-Raleigh Major-1v1-GSL-UQF-G1,2025,Raleigh Major,1v1,1,GSL,UQF,5,1,2,KAM,FALSE,FALSE,0,Mannfield (Night),100,37,29,34,100,37,29,34,100,37,29,34,100,37,29,34,46,18,11,16,54,19,17,19,62,23,20,19,47,17,13,18,77,29,22,25,23,8,6,9,1078,1182,1281,810,475665,171644,135049,168972,276419,88444,81109,106866,189406,79071,51587,58748,173648,75166,48261,50221,15758,3905,3326,8527,54,53,54,56,7,3,2,3,17,7,5,6,39,13,11,15,44,17,13,14,0,0,0,0,60,21,17,22,40,16,11,12,36,15,11,10,4,1,1,2,39,42,35,39,17,5,6,6,54,18,18,18,19,8,4,7,27,11,7,9,8,3,3,1,3118,827,1491,800,3315,1484,789,1042,512,135,182,195,318,113,89,116,1690,662,445,583,1691,692,489,510,1510,649,457,404,181,43,32,106,0,0,0,0,0,0,0,0,20,2,13,5,17,7,6,4,10,6,2,2,29,13,7,9,779,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,36,18,35,29,4,19,6,14,2,0,12,238,18,180,40,1054,430,216,408,2662,382,1720,560
2Die4,SSA-P-10001,Steam|76561198256947172|0,Starter,2025-06-06T15:16:04.000Z,20250606-151604-2025-Raleigh Major-1v1-GSL-UQF-G2,2025,Raleigh Major,1v1,1,GSL,UQF,5,2,2.1,2DIE4,FALSE,FALSE,0,Mannfield (Night),100,44,31,25,100,44,31,25,100,44,31,25,100,44,31,25,47,20,15,11,53,24,15,14,66,25,27,14,51,24,12,15,74,36,21,17,26,9,9,8,1228,1509,1058,976,499821,220655,141294,137872,253817,106723,69342,77752,232220,108429,67594,56197,226113,108088,65407,52618,6107,341,2187,3579,56,56,53,61,8,3,2,3,18,8,4,6,43,20,12,11,39,17,14,8,0,0,0,0,56,25,15,16,44,19,16,9,42,19,15,9,1,0,1,1,36,38,30,40,25,8,12,6,56,25,21,10,19,7,4,9,25,13,6,6,5,3,2,1,3423,1537,1263,623,3246,1631,716,899,286,79,70,137,346,142,89,115,1584,700,335,549,1873,808,675,390,1811,807,642,362,62,1,33,28,0,0,0,0,0,0,0,0,26,7,17,2,6,4,1,1,13,5,4,4,24,10,7,7,1101,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,2,1,0,1,102,93,0,9,64,44,0,83,83,0,0,83,51,93,0,9,26,0,0,26,93,49,20,24,33,12,15,6,9,4,2,3,486,152,231,103,1107,584,238,285,2814,1048,1269,497
Kam,SSA-P-10031,Steam|76561198812926287|0,Starter,2025-06-06T15:16:04.000Z,20250606-151604-2025-Raleigh Major-1v1-GSL-UQF-G2,2025,Raleigh Major,1v1,1,GSL,UQF,5,2,2.1,KAM,TRUE,FALSE,0,Mannfield (Night),100,39,33,28,100,39,33,28,100,39,33,28,100,39,33,28,51,20,17,14,49,19,17,14,100,30,44,26,48,16,19,14,77,31,26,20,23,7,8,8,1108,1372,1138,733,464078,182681,140988,140409,249782,87409,79423,82950,203025,90160,58218,54647,196491,86564,55280,54647,6534,3596,2938,0,51,52,48,56,6,2,1,3,14,6,4,5,37,15,10,11,49,18,20,11,0,0,0,0,59,22,20,17,41,17,14,11,40,16,13,11,1,1,1,0,35,32,29,46,26,9,12,5,60,25,24,11,14,5,2,7,26,9,7,10,7,3,3,1,3096,943,1414,739,3176,1452,665,1059,406,91,38,277,269,86,64,119,1669,634,410,625,1785,724,602,459,1727,701,567,459,58,23,35,0,0,0,0,0,0,0,0,0,26,2,17,7,13,4,7,2,6,3,2,1,71,21,33,17,1411,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,1,1,0,0,53,53,0,0,76,76,0,0,79,80,0,77,53,53,0,0,6,12,0,0,106,45,29,32,29,7,16,6,27,15,0,12,530,157,229,144,1245,525,348,372,2370,543,1371,456
