Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Event,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-14T15:25:08.000Z,20260614-152508-2026-2v2-2v2-Playoffs-QF-G1,2026,2v2,2v2,3,Playoffs,QF,7,1,1,BTF ESPORTS,TRUE,FALSE,0,DFH Stadium,55,22,12,22,46,24,12,9,55,18,13,25,46,28,11,7,49,24,9,16,51,20,15,15,35,17,5,13,26,11,7,8,73,35,17,21,27,9,7,11,2018,2093,2696,1542,500815,218487,127998,154330,314600,134994,91211,88395,177384,80202,34422,62760,157782,72258,34422,51102,19602,7944,0,11658,58,57,67,58,8,4,2,2,20,10,6,5,46,19,11,16,33,16,7,10,1,0,0,0,66,29,18,19,34,16,6,12,30,14,6,10,4,1,0,2,50,52,55,46,12,4,5,4,40,17,10,13,21,9,3,9,39,18,11,10,10,5,4,2,3276,1120,1583,573,3339,1354,707,1278,287,143,79,65,329,161,92,76,1857,705,501,651,1395,657,250,488,1241,595,250,396,154,62,0,92,5,1,1,3,5,3,0,2,5,4,0,1,6,4,1,1,9,4,3,2,14,8,2,4,763,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,24,24,0,0,82,82,0,0,0,0,0,0,24,24,0,0,0,0,0,0,88,53,15,20,29,9,14,6,89,61,19,9,479,298,121,60,967,575,161,231,2421,602,1279,540
Sweaty,SSA-P-10056,Steam|76561198965054402|0,STARTER,2026-06-14T15:25:08.000Z,20260614-152508-2026-2v2-2v2-Playoffs-QF-G1,2026,2v2,2v2,3,Playoffs,QF,7,1,1,BTF ESPORTS,TRUE,FALSE,0,DFH Stadium,46,24,8,14,55,24,16,16,46,17,11,18,55,31,13,11,54,27,15,13,46,20,9,17,37,18,8,11,26,11,5,11,76,40,17,19,24,7,7,11,2131,2091,2750,1916,489304,219091,120687,149526,292239,122446,76844,92949,188065,93226,41830,53009,146468,66425,34696,45347,41597,26801,7134,7662,57,55,66,59,7,3,2,2,18,7,5,6,42,20,11,12,39,20,9,11,0,0,0,0,64,29,16,20,36,18,8,10,28,13,7,9,8,6,1,1,49,52,50,47,9,1,4,3,38,16,11,11,25,12,5,8,37,18,8,11,6,3,1,1,2966,1306,950,710,2870,1442,466,962,320,95,28,197,277,111,68,98,1566,700,286,580,1488,759,326,403,1143,515,277,351,345,244,49,52,5,4,0,1,5,2,1,2,6,0,4,2,2,0,0,2,7,5,1,1,16,11,2,3,615,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,20,20,0,0,21,21,0,0,0,0,0,0,20,20,0,0,0,0,0,0,98,47,20,31,24,10,9,5,52,24,3,25,373,185,72,116,1124,540,237,347,2027,815,828,384
carca,SSA-P-10210,Steam|76561198995240510|0,STARTER,2026-06-14T15:25:08.000Z,20260614-152508-2026-2v2-2v2-Playoffs-QF-G1,2026,2v2,2v2,3,Playoffs,QF,7,1,1,GOOD LITTLE KITTENS,FALSE,FALSE,0,DFH Stadium,50,20,11,19,50,29,10,10,50,18,12,20,50,31,10,9,53,26,11,16,47,23,11,13,31,11,10,10,23,9,5,9,70,38,15,17,30,11,7,12,2230,2410,2238,2009,458785,203327,104145,151313,238369,112827,59342,66200,208467,85351,42922,80194,188396,84367,38152,65877,20071,984,4770,14317,54,49,58,60,5,1,1,3,15,5,4,6,40,18,9,13,45,26,9,10,0,0,0,0,58,29,14,15,42,19,8,15,38,19,7,12,4,0,1,3,43,49,45,33,21,6,5,9,46,19,10,17,23,13,5,5,31,17,7,7,4,2,1,1,2893,1194,670,1029,2807,1341,545,921,169,44,16,109,209,53,41,115,1295,542,307,446,1757,804,338,615,1582,799,293,490,175,5,45,125,3,1,0,2,3,0,3,0,5,1,1,3,7,3,2,2,3,1,1,1,12,0,6,6,446,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,65,65,0,0,33,33,0,0,42,0,0,42,65,65,0,0,81,0,0,81,73,41,11,21,22,8,5,9,26,23,1,2,186,38,76,72,850,469,131,250,2014,762,424,828
tweex,SSA-P-10270,Steam|76561198303997299|0,STARTER,2026-06-14T15:25:08.000Z,20260614-152508-2026-2v2-2v2-Playoffs-QF-G1,2026,2v2,2v2,3,Playoffs,QF,7,1,1,GOOD LITTLE KITTENS,FALSE,FALSE,0,DFH Stadium,50,24,11,15,51,20,16,14,50,17,14,19,51,28,13,11,51,25,13,13,49,19,14,17,33,20,8,5,25,11,6,9,69,35,18,15,31,9,8,14,2179,1808,3011,2129,543260,238756,142346,162158,297394,126413,83851,87130,233028,107087,55019,70922,202323,90019,51527,60777,30705,17068,3492,10145,63,62,66,64,12,4,4,4,26,11,8,8,47,21,12,14,26,13,7,7,0,0,0,0,59,25,17,17,41,19,9,12,35,16,9,10,6,4,1,2,45,52,41,37,19,4,7,8,42,14,13,15,28,15,6,7,30,16,7,7,7,3,2,2,2847,1069,989,789,2813,1394,541,878,327,111,61,155,510,182,163,165,1487,602,344,541,1715,811,392,512,1442,654,365,423,273,157,27,89,3,0,2,1,3,1,0,2,6,2,3,1,9,6,1,2,5,4,0,1,6,5,0,1,392,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,80,0,0,0,0,0,0,0,0,67,36,12,19,26,10,10,6,33,20,10,3,486,279,171,36,771,412,134,225,2114,721,829,564
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-14T17:07:07.000Z,20260614-170707-2026-2v2-2v2-Playoffs-QF-G2,2026,2v2,2v2,3,Playoffs,QF,7,2,2,BTF ESPORTS,TRUE,FALSE,0,Mannfield (Night),42,20,8,13,58,34,14,11,46,17,11,18,54,37,11,6,54,33,9,12,46,21,13,12,27,9,11,7,21,6,8,8,76,44,16,15,24,10,6,9,2069,2204,2280,1774,462416,234190,108011,120215,296716,160344,74640,61732,157743,70444,31986,55313,142244,64641,30301,47302,15499,5803,1685,8011,54,51,64,59,4,2,1,2,13,4,3,6,44,23,12,9,42,26,7,9,0,0,0,0,69,39,16,14,31,15,6,10,27,14,6,8,4,2,0,2,45,51,47,36,15,5,5,6,47,24,11,13,17,9,3,4,36,21,8,6,11,8,2,1,2752,1427,803,522,2741,1416,620,705,163,42,54,67,187,70,43,74,1470,705,387,378,1278,621,259,398,1126,550,245,331,152,71,14,67,1,1,0,0,3,2,0,1,7,1,4,2,6,1,4,1,7,2,3,2,12,5,5,2,627,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,53,6,25,24,13,7,4,70,64,0,6,500,410,84,6,938,572,72,294,1900,890,616,394
Sweaty,SSA-P-10056,Steam|76561198965054402|0,STARTER,2026-06-14T17:07:07.000Z,20260614-170707-2026-2v2-2v2-Playoffs-QF-G2,2026,2v2,2v2,3,Playoffs,QF,7,2,2,BTF ESPORTS,TRUE,FALSE,0,Mannfield (Night),58,30,12,16,42,22,12,8,54,25,13,16,46,27,11,8,49,29,11,8,51,23,13,15,28,16,7,5,24,9,6,8,76,42,18,16,24,11,5,7,1878,1769,2320,1687,470789,238018,116699,116072,281004,135632,77235,68137,180237,97541,37429,45267,156619,82998,33473,40148,23618,14543,3956,5119,55,53,58,58,7,4,1,2,16,8,3,5,42,21,12,9,41,23,9,9,0,0,0,0,63,32,16,15,37,21,8,9,32,18,7,8,5,3,1,1,41,45,36,38,13,4,4,5,47,22,13,12,23,14,4,5,30,17,6,7,3,2,1,0,2766,1499,716,551,2857,1662,500,695,241,132,56,53,294,160,26,108,1513,814,345,354,1533,863,313,357,1314,723,282,309,219,140,31,48,3,1,1,1,1,0,0,1,10,3,6,1,7,5,1,1,10,8,1,1,10,5,2,3,620,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,79,0,65,0,0,0,0,27,3,0,51,75,36,22,17,17,9,5,3,4,1,1,2,157,94,20,43,896,431,263,202,1543,806,480,257
carca,SSA-P-10210,Steam|76561198995240510|0,STARTER,2026-06-14T17:07:07.000Z,20260614-170707-2026-2v2-2v2-Playoffs-QF-G2,2026,2v2,2v2,3,Playoffs,QF,7,2,2,GOOD LITTLE KITTENS,FALSE,FALSE,0,Mannfield (Night),53,20,12,21,49,25,12,11,47,13,11,22,55,32,12,10,45,24,10,10,55,20,14,21,20,10,4,6,24,10,3,11,78,38,19,22,22,7,5,10,1894,1818,2158,1829,453176,189600,114196,149380,251721,114095,63013,74613,191182,71763,48047,71372,162683,61824,44987,55872,28499,9939,3060,15500,54,50,58,57,6,2,2,2,14,5,5,4,37,15,9,14,48,24,10,13,0,0,0,0,62,29,15,17,38,15,9,14,32,13,8,11,6,2,1,3,45,51,51,32,13,3,4,6,46,18,9,19,22,9,5,8,32,18,10,4,5,2,2,0,2597,974,1049,574,2651,1180,593,878,205,78,60,67,266,96,91,79,1252,551,248,453,1564,632,360,572,1299,542,328,429,265,90,32,143,4,1,2,1,3,1,0,2,5,1,4,0,6,2,1,3,5,2,1,2,8,5,1,2,262,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,47,0,47,0,75,0,75,0,0,0,0,0,47,0,47,0,0,0,0,0,65,25,18,22,22,8,12,2,16,12,4,0,322,152,157,13,764,288,212,264,1878,648,1043,187
tweex,SSA-P-10270,Steam|76561198303997299|0,STARTER,2026-06-14T17:07:07.000Z,20260614-170707-2026-2v2-2v2-Playoffs-QF-G2,2026,2v2,2v2,3,Playoffs,QF,7,2,2,GOOD LITTLE KITTENS,FALSE,FALSE,0,Mannfield (Night),48,21,12,15,53,24,14,15,54,18,15,21,47,27,10,9,55,25,15,15,45,19,11,15,34,14,6,14,29,8,5,16,75,38,18,20,25,6,7,11,2360,2436,2589,2134,461223,195587,120251,145385,254938,121915,66349,66674,196226,69609,51108,75509,178167,61137,46945,70085,18059,8472,4163,5424,55,53,58,58,10,3,3,4,20,8,6,5,37,16,8,14,43,20,11,11,0,0,0,0,60,29,15,16,40,15,10,15,36,14,9,13,4,2,1,1,46,49,51,40,21,7,6,8,44,18,11,15,18,8,4,7,37,18,11,9,12,6,4,2,2501,956,1007,538,2446,969,587,890,274,106,107,61,411,127,124,160,1367,578,295,494,1631,617,415,599,1463,541,371,551,168,76,44,48,3,1,1,1,4,2,0,2,12,1,8,3,11,5,0,6,8,3,1,4,13,6,2,5,398,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,36,2,0,34,76,83,0,69,0,0,0,0,18,2,0,34,0,0,0,0,63,32,8,23,21,8,9,4,70,41,9,20,320,159,49,112,686,343,87,256,1780,641,851,288
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-14T17:16:51.000Z,20260614-171651-2026-2v2-2v2-Playoffs-QF-G3,2026,2v2,2v2,3,Playoffs,QF,7,3,3,BTF ESPORTS,TRUE,FALSE,0,Forbidden Temple,43,24,12,8,58,30,17,12,54,20,18,16,47,33,10,4,57,32,16,9,43,20,12,11,19,10,5,4,25,13,5,7,68,43,16,9,32,9,12,11,2407,2161,2459,2983,475836,233693,134159,107984,264029,130392,73878,59759,202173,98756,57296,46121,171603,81020,50039,40544,30570,17736,7257,5577,56,52,56,64,7,3,2,2,17,7,5,4,44,20,12,11,40,24,11,4,0,0,0,0,59,31,16,11,41,21,12,8,35,17,11,7,7,4,2,1,41,46,37,33,22,9,6,6,49,21,16,12,20,13,4,2,31,18,8,5,7,4,1,1,3229,1418,1079,732,3110,1603,845,662,257,95,71,91,292,110,90,92,1426,625,440,361,1723,869,507,347,1439,697,440,302,284,172,67,45,3,1,0,2,4,1,1,2,5,2,3,0,2,1,0,1,5,4,0,1,6,5,1,0,358,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,1,150,150,0,0,55,59,0,49,46,0,0,46,50,75,0,0,0,0,0,0,104,52,23,29,25,9,10,6,58,2,32,24,169,98,3,68,1190,622,244,324,2331,802,997,532
Sweaty,SSA-P-10056,Steam|76561198965054402|0,STARTER,2026-06-14T17:16:51.000Z,20260614-171651-2026-2v2-2v2-Playoffs-QF-G3,2026,2v2,2v2,3,Playoffs,QF,7,3,3,BTF ESPORTS,TRUE,FALSE,0,Forbidden Temple,58,32,16,11,44,25,11,8,48,17,18,13,55,40,9,5,63,39,17,7,37,18,9,10,34,19,11,4,31,17,8,6,76,48,18,11,24,9,9,6,1998,1935,2213,1938,475212,258928,126369,89915,238846,135961,55810,47075,226432,118289,67329,40814,196817,95683,62786,38348,29615,22606,4543,2466,55,53,56,60,7,3,2,2,17,8,4,4,38,22,10,6,45,26,12,7,0,0,0,0,55,32,13,10,45,24,13,7,38,19,12,7,7,5,1,1,44,50,38,33,12,3,6,3,47,22,15,10,23,14,4,4,30,20,7,3,8,5,2,1,3058,1776,977,305,3066,1906,653,507,251,125,44,82,323,143,107,73,1216,729,248,239,1889,1027,547,315,1590,806,505,279,299,221,42,36,4,0,2,2,3,2,0,1,7,1,5,1,8,5,3,0,9,4,2,3,15,12,2,1,1019,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,4,0,0,0,3,2,1,0,3,1,2,0,152,28,124,0,62,83,52,0,78,82,71,0,51,28,62,0,38,39,36,0,87,54,14,19,23,11,9,3,52,34,18,0,337,145,91,101,992,614,150,228,1963,955,809,199
carca,SSA-P-10210,Steam|76561198995240510|0,STARTER,2026-06-14T17:16:51.000Z,20260614-171651-2026-2v2-2v2-Playoffs-QF-G3,2026,2v2,2v2,3,Playoffs,QF,7,3,3,GOOD LITTLE KITTENS,FALSE,FALSE,0,Forbidden Temple,47,16,17,14,56,23,18,15,56,14,21,21,47,25,14,8,37,16,13,9,63,21,21,20,20,6,9,5,19,4,6,8,67,31,23,13,33,6,11,16,2427,2717,2455,2023,497168,178092,166680,152396,274182,108980,91076,74126,210194,64731,71130,74333,179371,62620,59250,57501,30823,2111,11880,16832,57,55,56,60,5,1,2,2,16,5,5,6,44,16,15,14,40,16,14,10,0,0,0,0,61,25,20,16,39,12,14,13,34,12,11,11,5,0,2,3,43,46,48,35,16,4,5,6,49,18,14,16,20,6,8,6,31,13,12,6,8,3,4,0,3271,1071,1641,559,3179,1129,1088,962,223,89,80,54,228,49,82,97,1532,538,566,428,1650,507,583,560,1411,492,475,444,239,15,108,116,3,0,2,1,0,0,0,0,8,0,6,2,4,1,3,0,4,0,3,1,8,4,2,2,391,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,1,1,2,1,1,0,0,17,17,0,0,58,58,0,0,73,83,78,66,17,17,0,0,18,0,19,27,94,49,19,26,18,7,10,1,48,46,1,1,132,111,17,4,1080,542,227,311,1668,589,983,96
