Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Event,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-12T17:07:50.000Z,20260612-170750-2026-2v2-2v2-GSL-UQF-G1,2026,2v2,2v2,1,GSL,UQF,5,1,7,BTF ESPORTS,TRUE,TRUE,45,Mannfield (Night),52,21,10,20,48,19,15,14,47,14,10,23,53,26,15,12,61,25,15,21,39,15,10,13,23.48,11.3,5.22,6.96,35,13,8,14,76,33,20,24,24,7,6,11,2219,2099,2748,2072,497755.65,191499.13,132380,173876.52,304328.7,111814.78,95274.78,97239.13,183678.26,75993.04,34964.35,72720.87,158951.3,68217.39,32517.39,58216.52,24726.96,7775.65,2446.96,14504.35,58,55,64,59,7,2,1,4,19,6,5,8,45,19,13,14,35,14,8,13,1,1,0,0,65,26,19,20,35,14,6,14,30,12,6,12,5,2,0,3,46,47,52,43,14,4,4,6,40,17,9,15,25,8,7,10,34,15,10,10,5,2,1,1,3215.65,1227.83,1285.22,702.61,3253.04,1344.35,778.26,1130.43,295.65,101.74,71.3,122.61,301.74,93.04,56.52,152.17,1797.39,700.87,533.91,562.61,1414.78,562.61,261.74,590.43,1213.91,489.57,245.22,479.13,200.87,73.04,16.52,111.3,1.74,0.87,0,0.87,0.87,0,0,0.87,3.48,1.74,0.87,0.87,7.83,3.48,2.61,1.74,12.17,6.96,2.61,2.61,8.7,4.35,1.74,2.61,693.04,0,0,0,1.74,0,0,0,6.09,0,0,0,0.87,0,0,0,2.61,0,0,0,0,0,0,0,1.74,0,1.74,0,6.96,0,6.96,0,68,0,68,0,0,0,0,0,4,0,4,0,0,0,0,0,73.04,32.17,10.43,30.43,27.83,8.7,14.78,4.35,49.57,15.65,13.91,20,322.61,116.52,179.13,26.96,826.96,370.43,111.3,345.22,2460,753.04,1299.13,407.83
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-12T17:17:00.000Z,20260612-171700-2026-2v2-2v2-GSL-UQF-G2,2026,2v2,2v2,1,GSL,UQF,5,2,16,BTF ESPORTS,TRUE,FALSE,0,Forbidden Temple,43,15,7,21,58,24,14,20,49,14,10,25,52,24,11,17,38,15,6,17,62,23,14,24,17,7,3,7,22,7,4,11,75,31,16,28,25,7,5,13,2177,2277,2704,1850,516955,192022,117271,207662,322291,123429,78037,120825,184307,65109,36355,82843,180296,65109,36355,78832,4011,0,0,4011,60,58,66,58,8,2,2,4,22,8,5,9,44,17,10,17,33,13,5,15,0,0,0,0,67,26,15,26,33,12,6,15,32,12,6,14,1,0,0,1,48,55,43,45,13,2,4,6,38,12,9,17,25,8,6,11,37,18,6,13,6,4,1,1,3183,1293,801,1089,3210,1190,549,1471,364,78,106,180,350,94,84,172,1831,653,399,779,1404,501,258,645,1350,501,258,591,54,0,0,54,3,2,1,0,5,0,2,3,4,1,2,1,4,1,1,2,7,3,3,1,4,2,0,2,909,0,0,0,5,0,0,0,11,0,0,0,2,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,82,0,0,0,0,36,0,4,53,92,39,19,34,32,11,10,11,54,17,13,24,571,262,147,162,1050,451,215,384,2629,838,853,938
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-12T17:26:54.000Z,20260612-172654-2026-2v2-2v2-GSL-UQF-G3,2026,2v2,2v2,1,GSL,UQF,5,3,25,BTF ESPORTS,TRUE,FALSE,0,DFH Stadium,53,16,15,21,48,20,17,11,55,12,18,25,46,24,14,7,46,16,14,16,54,20,17,17,15,3,6,6,25,8,7,10,68,28,22,18,32,9,9,14,2153,2103,2833,1672,495787,172929,153590,169268,260604,98896,90627,71081,224532,70814,58790,94928,200826,60097,58062,82667,23706,10717,728,12261,57,54,59,59,9,4,3,3,19,6,7,6,42,15,13,15,38,15,11,12,1,0,0,0,58,23,20,15,42,13,11,18,37,12,11,15,5,2,0,3,42,45,40,42,19,4,10,5,49,17,17,16,18,7,4,7,33,13,11,9,7,1,3,2,3252,888,1601,763,3312,1206,898,1208,206,78,69,59,412,167,117,128,1549,622,507,420,1776,558,464,754,1563,488,459,616,213,70,5,138,3,1,0,2,3,1,0,2,3,0,3,0,4,1,2,1,4,2,1,1,5,1,2,2,679,0,0,0,3,0,0,0,6,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,12,12,0,0,50,50,0,0,55,0,0,55,12,12,0,0,17,0,0,17,66,34,13,19,26,6,15,5,4,4,0,0,173,59,114,0,788,404,156,228,2427,541,1386,500
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-12T17:52:27.000Z,20260612-175227-2026-2v2-2v2-GSL-USF-G1,2026,2v2,2v2,1,GSL,USF,5,1,34,BTF ESPORTS,TRUE,FALSE,0,Mannfield (Night),47,24,9,13,54,27,13,13,46,20,8,17,54,31,14,9,50,24,10,16,50,27,12,11,18,9,3,6,21,7,5,9,77,41,18,18,23,10,4,9,2167,2191,2920,1753,470303,235920,105364,129019,266975,137989,70619,58367,193223,93564,32898,66761,170028,81991,31891,56146,23195,11573,1007,10615,55,54,63,57,6,3,1,2,16,8,4,4,41,20,9,12,42,24,8,10,0,0,0,0,61,32,15,14,39,20,6,13,33,16,6,11,6,3,0,2,42,47,45,34,21,6,7,8,48,23,10,15,21,10,6,5,31,18,6,7,6,4,2,0,2754,1392,920,442,2798,1559,455,784,237,82,112,43,239,128,46,65,1386,735,310,341,1613,813,263,537,1375,683,254,438,238,130,9,99,0,0,0,0,4,2,1,1,3,1,1,1,8,3,2,3,5,0,4,1,3,0,2,1,635,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,43,7,12,23,12,8,3,46,46,0,0,495,400,83,12,698,470,84,144,1805,800,717,288
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-12T17:59:59.000Z,20260612-175959-2026-2v2-2v2-GSL-USF-G2,2026,2v2,2v2,1,GSL,USF,5,2,42,BTF ESPORTS,TRUE,TRUE,4,Forbidden Temple,49,16,9,24,53,21,13,19,59,15,12,32,43,22,10,11,53,22,11,20,47,13,10,23,42.43,12.83,4.93,24.67,32,8,6,18,67,28,14,25,33,7,7,19,2088,1990,2583,1929,482945.72,170472.04,108247.7,204225.99,270310.86,107994.08,63514.14,98802.63,203363.49,60008.88,43041.12,100313.49,173809.54,51165.79,35695.07,86948.68,29553.95,8843.09,7346.05,13364.8,55,53,58,55,6,3,1,2,20,7,5,8,38,12,9,17,41,15,7,18,1,1,0,0,61,25,14,22,39,11,8,21,33,9,6,18,6,2,1,3,47,50,50,44,12,2,4,6,41,14,8,19,24,10,4,10,35,12,9,14,5,2,2,2,3300.99,964.14,1031.25,1305.59,3118.42,1133.88,460.86,1523.68,300,127.3,48.36,124.34,257.57,128.29,59.21,70.07,1500,610.86,170.72,718.42,1630.26,439.14,312.83,878.29,1366.78,354.28,262.5,750,263.49,84.87,50.33,128.29,5.92,0,2.96,2.96,4.93,1.97,0.99,1.97,5.92,1.97,0.99,2.96,5.92,1.97,0,3.95,7.89,2.96,0.99,3.95,25.66,8.88,0,16.78,580.26,0,0,0,1.97,0,0,0,4.93,0,0,0,0.99,0,0,0,0.99,0,0,0,0,0,0,0,0.99,0.99,0,0,75,75,0,0,50,50,0,0,0,0,0,0,76,76,0,0,0,0,0,0,76.97,26.64,12.83,37.5,30.59,9.87,10.86,9.87,22.7,13.82,1.97,6.91,542.76,255.59,187.5,99.67,900.99,305.92,151.97,443.09,2516.45,731.25,898.03,887.17
! ravióli.,SSA-P-10226,Steam|76561198070134441|0,STARTER,2026-06-12T18:07:10.000Z,20260612-180710-2026-2v2-2v2-GSL-USF-G3,2026,2v2,2v2,1,GSL,USF,5,3,49,BTF ESPORTS,TRUE,FALSE,0,DFH Stadium,50,16,8,25,50,22,13,15,54,15,10,29,46,23,12,11,46,17,12,17,54,21,10,23,24,9,7,8,23,7,3,13,75,32,15,27,25,6,6,14,1991,2169,2448,1665,499685,184793,114153,200739,292615,117231,83304,92080,197091,64181,28600,104310,168178,54955,24341,88882,28913,9226,4259,15428,57,55,65,56,7,2,2,3,19,6,6,7,42,15,8,19,39,17,7,15,0,0,0,0,61,25,16,20,39,13,6,20,31,11,5,16,7,2,1,4,49,56,53,41,16,4,4,7,42,12,9,20,16,7,3,7,42,19,9,13,6,4,2,0,3302,1210,850,1242,3216,1239,526,1451,203,85,77,41,286,93,69,124,1540,636,330,574,1635,543,226,866,1319,453,186,680,316,90,40,186,8,2,2,4,1,1,0,0,2,0,2,0,2,2,0,0,10,3,4,3,8,3,2,3,542,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,53,0,41,12,75,0,67,83,0,0,0,0,27,0,41,12,0,0,0,0,73,34,12,27,32,13,10,9,13,13,0,0,798,455,269,74,863,395,144,324,2402,845,731,826
2Die4,SSA-P-10001,Steam|76561198256947172|0,STARTER,2026-06-12T17:06:09.000Z,20260612-170609-2026-2v2-2v2-GSL-UQF-G1,2026,2v2,2v2,1,GSL,UQF,5,1,5,MZANSI BALLERS,TRUE,FALSE,0,Mannfield (Night),50,21,11,17,51,29,11,11,51,19,11,20,50,31,12,8,56,30,13,13,44,20,9,16,27,14,5,8,22,10,5,7,75,39,19,18,25,11,3,10,2120,2324,2303,1717,503950,253498,112235,138217,304206,153464,73162,77580,190538,95556,37152,57830,160108,81843,32839,45426,30430,13713,4313,12404,59,61,63,57,7,3,1,3,17,8,4,5,49,25,11,13,34,16,8,10,0,0,0,0,63,32,15,17,37,18,7,12,30,15,7,8,7,3,1,3,56,59,60,52,10,3,3,4,31,13,8,10,20,12,3,6,49,25,11,13,15,6,5,4,2442,1210,890,342,2424,1119,460,845,115,54,8,53,293,121,57,115,1229,570,244,415,1524,728,308,488,1225,603,273,349,299,125,35,139,3,0,1,2,2,0,0,2,6,2,2,2,1,0,0,1,4,2,0,2,4,2,0,2,509,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,43,7,14,20,7,9,4,38,24,2,12,629,179,234,216,730,492,82,156,1371,521,666,184
2Die4,SSA-P-10001,Steam|76561198256947172|0,STARTER,2026-06-12T17:13:10.000Z,20260612-171310-2026-2v2-2v2-GSL-UQF-G2,2026,2v2,2v2,1,GSL,UQF,5,2,12,MZANSI BALLERS,TRUE,FALSE,0,Forbidden Temple,47,17,11,19,53,27,12,14,55,18,12,25,45,25,11,9,49,22,12,16,51,21,12,17,25,11,4,10,30,9,6,14,69,34,17,18,31,9,6,15,2122,2236,2534,1790,498005,208268,122022,167715,270475,131829,66954,71692,216717,72745,52503,91469,195042,64155,46324,84563,21675,8590,6179,6906,57,56,63,58,5,1,1,3,17,5,5,7,47,21,11,14,37,17,8,12,0,0,0,0,59,28,15,16,41,15,9,17,37,13,8,15,4,2,1,1,50,59,48,41,10,1,4,5,41,14,11,16,17,7,4,7,42,23,8,11,14,9,3,2,2403,1017,790,596,2263,1010,401,852,85,67,13,5,217,55,43,119,992,460,210,322,1687,632,363,692,1508,554,320,634,179,78,43,58,4,0,1,3,2,0,0,2,7,1,4,2,5,4,0,1,8,4,1,3,6,2,0,4,585,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,34,10,20,20,6,8,6,28,17,0,11,444,61,142,241,740,391,120,229,1556,539,658,359
2Die4,SSA-P-10001,Steam|76561198256947172|0,STARTER,2026-06-12T17:19:49.000Z,20260612-171949-2026-2v2-2v2-GSL-UQF-G3,2026,2v2,2v2,1,GSL,UQF,5,3,19,MZANSI BALLERS,TRUE,FALSE,0,DFH Stadium,55,19,12,23,45,21,13,11,56,15,16,25,44,25,9,9,46,19,11,17,54,22,14,17,29,9,4,16,53,20,12,21,74,35,17,22,26,6,8,12,2263,2584,2561,1699,518466,207951,137261,173254,276656,129671,79965,67020,229974,74278,53975,101721,198804,63824,52038,82942,31170,10454,1937,18779,60,59,64,58,6,2,1,2,16,6,5,5,52,21,14,17,32,13,6,13,0,0,0,0,57,27,16,14,43,14,10,20,37,12,9,15,7,2,0,5,45,53,42,37,17,4,6,6,48,15,14,19,17,6,3,7,35,19,8,8,10,5,4,1,2610,1180,1173,257,2651,1127,515,1009,130,63,51,16,278,104,63,111,1163,577,298,288,1814,580,401,833,1517,495,388,634,297,85,13,199,2,1,0,1,2,0,1,1,1,0,0,1,5,2,1,2,4,3,0,1,8,2,2,4,833,0,0,0,2,0,0,0,10,0,0,0,2,0,0,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82,0,81,82,0,0,0,0,25,0,0,50,64,33,9,22,24,8,16,0,22,14,0,8,513,131,382,0,746,382,108,256,1887,669,1218,0
2Die4,SSA-P-10001,Steam|76561198256947172|0,STARTER,2026-06-12T17:56:28.000Z,20260612-175628-2026-2v2-2v2-GSL-USF-G1,2026,2v2,2v2,1,GSL,USF,5,1,36,MZANSI BALLERS,TRUE,FALSE,0,Mannfield (Night),47,20,14,13,55,35,11,9,47,18,15,14,55,37,9,9,51,30,14,6,49,24,10,16,18,4,7,7,16,5,5,6,75,43,16,16,25,11,8,6,2124,2408,2080,1638,451761,234671,115219,101871,247577,141826,61552,44199,196503,89585,51025,55893,156507,76465,36485,43557,39996,13120,14540,12336,55,53,63,56,4,2,2,1,12,4,4,3,46,26,11,9,42,24,9,9,0,0,0,0,58,35,13,10,42,19,11,12,33,16,7,9,9,3,3,3,50,60,44,38,9,1,4,4,40,15,13,12,23,14,4,5,37,25,7,5,15,10,2,2,2290,1069,865,356,2353,1283,440,630,60,23,21,16,182,74,64,44,962,526,227,209,1678,761,439,478,1312,652,296,364,366,109,143,114,2,1,1,0,4,1,1,2,1,0,1,0,5,1,2,2,6,2,2,2,9,2,3,4,752,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,31,31,0,0,54,54,0,0,0,0,0,0,10,10,0,0,0,0,0,0,51,29,7,15,22,10,10,2,16,10,6,0,463,263,166,34,596,338,78,180,1737,737,834,166
