Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Event,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
2Die4,SSA-P-10001,Steam|76561198256947172|0,Starter,2022-08-04T11:07:35.000Z,20220804-110735-2021-22-Worlds-Wildcard-Swiss-1-G1,2021-22,Worlds,Wildcard,1,Swiss,1,7,1,1,BRAVADO GAMING,FALSE,FALSE,0,Mannfield (Night),31,16,6,9,38,24,9,5,35,14,9,12,40,27,10,3,53,31,10,12,47,27,13,7,13,7,3,3,8,5,0,3,72,45,16,11,28,12,7,9,2528,2673,3676,2081,429242,240786,98358,90098,267763,162371,65431,39961,153222,74205,30604,48413,137218,69137,27435,40646,16004,5068,3169,7767,49,48,70,54,4,2,1,1,11,6,3,3,34,18,10,7,54,34,10,9,0,0,0,0,68,42,17,9,32,15,7,10,27,14,6,8,4,1,1,2,40,45,59,23,21,5,7,9,52,27,13,12,18,10,2,5,30,20,8,2,10,7,3,0,2030,1099,643,288,1991,1200,376,415,114,43,46,25,167,90,35,42,1158,673,272,213,1337,632,278,427,1151,578,236,337,186,54,42,90,1,1,0,0,4,3,0,1,2,1,1,0,5,2,0,3,2,0,0,2,1,1,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,96,96,0,0,48,48,0,0,0,0,0,0,96,96,0,0,0,0,0,0,79,58,8,13,14,6,6,2,7,7,0,0,149,43,85,21,941,689,96,156,1251,557,515,179
daisy,SSA-P-10031,Steam|76561198812926287|0,Starter,2022-08-04T11:07:35.000Z,20220804-110735-2021-22-Worlds-Wildcard-Swiss-1-G1,2021-22,Worlds,Wildcard,1,Swiss,1,7,1,1,BRAVADO GAMING,FALSE,FALSE,0,Mannfield (Night),41,27,7,7,26,16,6,4,37,21,7,9,27,18,7,2,56,34,13,9,44,29,8,7,27,15,10,2,21,11,7,4,71,44,16,11,29,19,5,5,2181,2049,2452,2536,471661,279247,111678,80736,271129,177538,60623,32968,190919,97671,48021,45227,169302,82387,41824,45091,21617,15284,6197,136,54,52,65,56,5,2,1,1,16,7,6,3,40,23,10,7,44,32,5,7,0,0,0,0,63,43,12,9,37,20,9,8,32,16,8,8,5,3,1,0,36,38,38,27,24,13,6,6,54,33,11,10,23,13,5,4,23,16,5,2,5,4,1,0,2411,1536,643,232,2340,1438,517,385,170,87,75,8,200,91,53,56,1235,796,286,153,1549,843,369,337,1342,695,311,336,207,148,58,1,2,1,0,1,1,0,1,0,8,6,2,0,8,3,4,1,4,2,1,1,6,5,1,0,325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,2,142,0,0,142,79,0,0,79,80,0,0,80,71,0,0,71,75,0,0,75,77,56,11,10,17,10,6,1,9,9,0,0,193,145,48,0,915,663,132,120,1507,855,552,100
Happymeal,SSA-P-10025,Steam|76561198072591444|0,Starter,2022-08-04T11:07:35.000Z,20220804-110735-2021-22-Worlds-Wildcard-Swiss-1-G1,2021-22,Worlds,Wildcard,1,Swiss,1,7,1,1,BRAVADO GAMING,FALSE,FALSE,0,Mannfield (Night),29,18,6,6,37,26,8,4,29,14,6,9,35,29,5,1,54,33,11,10,46,32,9,6,22,12,5,5,16,8,2,6,72,50,13,8,28,15,6,7,2606,2554,3222,2440,471552,285202,96604,89746,258981,163352,49554,46075,203233,116136,45092,42005,183972,99230,42737,42005,19261,16906,2355,0,54,50,62,65,6,2,2,2,12,5,3,4,44,27,8,9,44,33,8,3,0,0,0,0,60,40,11,9,40,25,8,7,35,21,7,7,5,4,1,0,43,42,50,45,15,8,4,2,48,32,9,7,24,16,3,4,28,16,7,5,10,5,3,2,2475,1364,427,684,2467,1484,565,418,117,52,36,29,249,82,86,81,1069,587,269,213,1688,1060,343,285,1487,881,321,285,201,179,22,0,2,0,0,2,0,0,0,0,3,3,0,0,4,4,0,0,6,4,0,2,7,4,3,0,306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,69,43,12,14,19,9,3,7,29,3,19,7,255,150,0,105,799,513,125,161,1645,750,300,595
CJCJ,OCE-P-10007,Steam|76561197998103705|0,Starter,2022-08-04T11:07:35.000Z,20220804-110735-2021-22-Worlds-Wildcard-Swiss-1-G1,2021-22,Worlds,Wildcard,1,Swiss,1,7,1,1,RENEGADES,TRUE,FALSE,0,Mannfield (Night),38,14,6,18,30,14,8,8,34,7,6,21,35,22,10,3,42,18,8,16,58,21,16,21,20,3,1,16,20,5,3,12,79,34,20,25,21,5,4,12,2693,2932,3153,2197,518271,198134,132298,187839,268550,111433,74674,82443,237729,81496,54365,101868,217625,72146,54365,91114,20104,9350,0,10754,59,57,64,57,8,3,3,2,19,8,6,6,46,18,11,17,34,14,7,14,0,0,0,0,57,24,15,18,43,16,9,19,39,13,9,17,4,2,0,2,39,36,46,38,14,6,3,5,53,23,11,19,23,6,5,11,25,10,8,7,2,1,1,1,2795,1396,721,678,2823,1168,479,1176,269,161,61,47,358,140,116,102,1551,704,318,529,1853,669,359,825,1673,570,359,744,180,99,0,81,2,1,0,1,6,0,3,3,3,0,0,3,4,2,0,2,5,2,0,3,6,0,1,5,663,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,52,17,26,20,9,5,6,16,4,6,6,237,116,45,76,1124,620,198,306,1763,784,455,524
"Fever, PWR Fever",OCE-P-10003,Steam|76561198410931886|0,Starter,2022-08-04T11:07:35.000Z,20220804-110735-2021-22-Worlds-Wildcard-Swiss-1-G1,2021-22,Worlds,Wildcard,1,Swiss,1,7,1,1,RENEGADES,TRUE,FALSE,0,Mannfield (Night),35,11,7,18,30,14,10,6,32,4,7,21,27,18,7,2,48,14,13,21,52,23,12,17,20,5,2,13,15,4,3,8,74,31,19,24,26,6,6,14,2795,3287,3103,2173,541755,200672,142505,198578,309570,118362,89244,101964,219727,77771,50593,91363,189244,65470,42431,81343,30483,12301,8162,10020,62,62,67,60,9,3,3,4,23,8,7,9,48,19,13,16,28,10,6,13,0,0,0,0,60,23,17,20,40,14,8,17,34,12,7,15,6,3,1,2,43,51,51,32,15,2,4,9,48,15,10,22,21,8,5,8,31,14,10,7,3,1,1,1,2998,1014,1215,769,3047,1307,788,952,306,124,97,85,379,112,112,155,1797,690,542,565,1687,598,352,737,1416,487,290,639,271,111,62,98,3,1,0,2,2,1,0,1,8,0,2,6,4,3,0,1,6,2,0,4,2,0,0,2,184,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,28,28,0,0,83,83,0,0,64,64,0,63,28,28,0,0,29,44,0,0,103,40,16,47,23,8,10,5,38,23,10,5,584,308,102,174,1198,457,182,559,1716,492,898,326
Kamii,OCE-P-10010,Steam|76561198073205334|0,Starter,2022-08-04T11:07:35.000Z,20220804-110735-2021-22-Worlds-Wildcard-Swiss-1-G1,2021-22,Worlds,Wildcard,1,Swiss,1,7,1,1,RENEGADES,TRUE,FALSE,0,Mannfield (Night),28,8,6,14,41,21,12,8,35,6,9,20,38,25,11,2,43,18,12,13,57,24,16,17,13,3,6,4,20,7,6,6,74,37,21,15,26,4,7,15,3133,3493,3671,2347,504785,197796,131917,175072,295776,124163,91518,80095,198194,69826,37736,90632,181744,68781,35227,77736,16450,1045,2509,12896,57,54,56,64,6,1,2,3,16,3,4,8,48,22,11,15,36,16,13,7,0,0,0,0,64,27,21,15,36,14,7,15,33,14,7,13,3,0,0,2,48,50,57,41,10,4,3,3,37,15,10,13,27,12,4,11,36,15,13,7,6,2,3,1,2948,1010,1171,767,2812,1062,590,1160,157,17,26,114,283,49,83,151,1467,582,379,506,1575,606,303,666,1438,587,285,566,137,19,18,100,4,1,1,2,1,0,0,1,2,0,1,1,4,2,1,1,6,3,1,2,0,0,0,0,320,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,83,0,0,0,0,0,71,0,71,0,95,42,20,33,20,6,10,4,20,9,9,2,315,31,222,62,1120,495,231,394,1685,569,778,338
2Die4,SSA-P-10001,Steam|76561198256947172|0,Starter,2022-08-04T11:15:06.000Z,20220804-111506-2021-22-Worlds-Wildcard-Swiss-1-G2,2021-22,Worlds,Wildcard,1,Swiss,1,7,2,2,BRAVADO GAMING,FALSE,FALSE,0,AquaDome,34,17,7,10,31,16,9,6,29,9,8,12,43,32,7,4,55,31,12,12,45,26,8,11,20,13,2,5,15,9,3,3,72,46,13,13,28,11,7,9,2356,2250,3156,2326,447204,233975,99596,113633,283389,160466,61945,60978,156212,70200,35468,50544,142748,59738,34406,48604,13464,10462,1062,1940,53,49,68,59,6,2,1,2,12,4,3,5,41,21,10,10,46,31,7,8,0,0,0,0,70,42,14,14,30,15,6,9,27,12,6,9,4,3,0,0,45,54,50,26,10,2,2,6,46,20,10,16,25,16,5,4,30,21,6,3,7,5,1,0,2212,1237,598,377,2295,1278,433,584,116,47,37,32,244,94,58,92,1354,718,274,362,1247,615,256,376,1092,484,248,360,155,131,8,16,2,2,0,0,0,0,0,0,5,2,2,1,2,1,0,1,5,5,0,0,9,6,0,3,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,38,38,0,0,34,34,0,0,0,0,0,0,19,19,0,0,0,0,0,0,69,37,12,20,16,9,6,1,23,21,2,0,147,60,86,1,805,423,142,240,1453,840,514,99
daisy,SSA-P-10031,Steam|76561198812926287|0,Starter,2022-08-04T11:15:06.000Z,20220804-111506-2021-22-Worlds-Wildcard-Swiss-1-G2,2021-22,Worlds,Wildcard,1,Swiss,1,7,2,2,BRAVADO GAMING,FALSE,FALSE,0,AquaDome,38,22,7,9,29,17,6,7,41,15,10,16,20,16,4,1,46,25,12,9,54,31,8,15,20,11,4,5,17,7,3,7,63,39,12,11,37,17,8,13,2458,2220,3020,2595,453920,237921,96306,119693,259470,150980,61747,46743,184833,83223,31642,69968,165789,74694,29035,62060,19044,8529,2607,7908,53,50,57,59,5,1,1,2,12,3,4,6,42,24,8,9,46,29,8,9,0,0,0,0,61,37,14,10,39,19,7,13,33,17,6,11,5,2,1,3,33,36,33,28,22,7,6,9,56,30,12,15,27,18,5,4,17,9,4,4,2,1,1,0,2159,838,704,617,2203,1093,418,692,61,4,16,41,213,59,55,99,1191,573,300,318,1623,787,270,566,1389,693,243,453,234,94,27,113,2,0,0,2,3,3,0,0,6,3,3,0,10,6,3,1,9,4,1,4,4,3,0,1,178,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,12,12,0,0,50,50,0,0,82,0,0,82,12,12,0,0,0,0,0,0,69,45,13,11,13,3,5,5,1,0,1,0,77,30,18,29,827,540,155,132,1223,270,482,471
Happymeal,SSA-P-10025,Steam|76561198072591444|0,Starter,2022-08-04T11:15:06.000Z,20220804-111506-2021-22-Worlds-Wildcard-Swiss-1-G2,2021-22,Worlds,Wildcard,1,Swiss,1,7,2,2,BRAVADO GAMING,FALSE,FALSE,0,AquaDome,29,21,4,5,41,24,9,8,31,15,6,10,38,28,8,3,44,27,10,8,56,34,11,11,11,5,2,4,10,4,2,4,68,46,14,8,32,15,7,11,3051,2970,3557,3209,484713,280374,103107,101232,278458,170161,57316,50981,196062,104445,43677,47940,177498,96525,39079,41894,18564,7920,4598,6046,57,54,67,63,8,4,2,2,17,9,4,4,46,26,9,11,37,26,7,4,0,0,0,0,62,38,13,10,38,22,7,8,34,20,6,7,4,2,1,1,37,40,42,27,15,7,3,5,57,34,11,12,18,10,4,4,25,17,5,2,8,5,3,0,2245,1359,381,505,2215,1436,360,419,165,100,15,50,331,169,95,67,1112,696,161,255,1567,937,286,344,1386,833,254,299,181,104,32,45,1,1,0,0,2,0,1,1,3,0,0,3,6,4,0,2,6,5,1,0,1,0,0,1,174,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,83,0,83,0,0,0,0,0,3,0,3,0,0,0,0,0,78,48,13,17,17,12,3,2,22,20,2,0,185,150,34,1,914,556,154,204,1515,1050,266,199
CJCJ,OCE-P-10007,Steam|76561197998103705|0,Starter,2022-08-04T11:15:06.000Z,20220804-111506-2021-22-Worlds-Wildcard-Swiss-1-G2,2021-22,Worlds,Wildcard,1,Swiss,1,7,2,2,RENEGADES,TRUE,FALSE,0,AquaDome,29,12,5,12,43,24,8,11,27,6,4,17,39,29,8,2,53,27,12,14,47,23,8,16,13,5,3,5,14,7,3,4,78,43,17,17,22,7,3,13,3318,3465,3418,3062,479310,224746,96822,157742,282806,145798,61355,75653,187107,74544,33997,78566,164815,70890,28753,65172,22292,3654,5244,13394,57,53,60,62,6,2,1,3,16,6,4,6,48,22,9,17,36,22,7,8,0,0,0,0,64,35,13,16,36,15,7,14,31,14,5,12,5,1,1,3,45,49,52,35,12,2,2,7,43,20,7,16,27,14,5,8,29,16,7,6,3,2,0,0,2495,1102,530,863,2457,1121,553,783,152,82,34,36,253,69,57,127,1525,653,342,530,1476,621,270,585,1266,582,210,474,210,39,60,111,7,2,2,3,4,0,1,3,1,0,1,0,3,2,0,1,3,2,0,1,3,1,1,1,196,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,125,25,100,0,64,70,57,0,78,0,0,78,63,25,100,0,45,0,0,45,77,41,13,23,19,7,7,5,20,13,0,7,431,64,331,36,904,479,156,269,1469,636,369,464
