Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Event,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
2Die4,SSA-P-10001,Steam|76561198256947172|0,Starter,2024-03-28T14:06:21.000Z,20240328-140621-2024-Major 1-Copenhagen Major-Swiss-1-G1,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,1,1,LIMITLESS,FALSE,FALSE,0,Mannfield (Night),31,22,5,4,38,29,5,3,30,15,8,7,43,39,3,1,52,40,8,5,48,35,7,6,12,10,1,1,12,8,3,1,70,59,7,4,30,16,8,6,2578,2500,2890,2830,431207,307278,72380,51549,240795,174629,41266,24900,182095,127115,29509,25471,152645,106682,27519,18444,29450,20433,1990,7027,52,49,62,60,3,1,1,1,11,6,3,2,42,30,7,4,47,39,4,4,0,0,0,0,60,46,8,5,40,29,6,5,32,23,5,3,9,6,1,2,36,35,41,35,19,12,4,3,54,42,7,5,25,19,3,3,21,15,4,2,4,4,1,0,1960,1259,565,136,2075,1430,283,362,95,43,24,28,128,62,26,40,1031,673,180,178,1638,1199,238,201,1268,945,202,121,370,254,36,80,2,2,0,0,1,1,0,0,2,0,1,1,3,3,0,0,4,3,1,0,2,1,1,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,4,2,2,0,54,54,0,0,59,61,57,0,72,72,0,0,14,27,0,0,85,85,0,0,71,56,7,8,12,7,4,1,24,24,0,0,186,145,13,28,828,648,84,96,1014,555,387,72
Atow.,EU-P-10002,Steam|76561198289610054|0,Starter,2024-03-28T14:06:21.000Z,20240328-140621-2024-Major 1-Copenhagen Major-Swiss-1-G1,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,1,1,KARMINE CORP,TRUE,FALSE,0,Mannfield (Night),32,4,7,21,34,17,8,8,36,3,4,28,35,19,10,5,56,17,14,25,44,11,11,22,18,3,7,8,17,3,4,10,72,25,21,26,28,4,4,20,2663,3645,2649,2071,520604,150078,135553,234973,302043,102596,86824,112623,207537,44525,46916,116096,169102,39724,37266,92112,38435,4801,9650,23984,60,62,62,58,8,2,2,4,18,5,5,8,53,16,13,24,29,7,7,14,0,0,0,0,60,20,16,24,40,8,9,22,32,7,7,17,8,1,2,5,49,57,51,43,13,2,2,9,42,9,11,22,19,6,4,9,39,14,10,15,9,4,3,2,2958,1266,711,981,2855,826,589,1440,206,86,41,79,347,65,98,184,1375,424,303,648,1664,332,385,947,1305,294,298,713,359,38,87,234,4,1,2,1,3,0,2,1,4,0,0,4,2,0,0,2,3,0,2,1,3,1,2,0,168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,73,0,0,0,0,26,0,0,26,108,47,19,42,20,9,6,5,45,18,13,14,277,128,103,46,1251,546,215,490,1723,772,497,454
rise.,EU-P-10010,Steam|76561198873686308|0,Starter,2024-03-28T14:06:21.000Z,20240328-140621-2024-Major 1-Copenhagen Major-Swiss-1-G1,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,1,1,KARMINE CORP,TRUE,FALSE,0,Mannfield (Night),39,6,9,24,26,11,8,8,37,4,5,27,25,13,8,4,58,16,17,26,42,8,10,24,21,2,8,11,22,4,6,12,74,20,23,32,26,4,3,18,2566,3124,2951,2128,514684,132875,131436,250373,316640,93373,89594,133673,187714,37140,39190,111384,164187,32450,34985,96752,23527,4690,4205,14632,60,64,59,58,6,2,2,3,18,5,5,8,49,14,12,23,33,5,9,18,0,0,0,0,65,17,19,29,35,7,8,21,31,6,7,18,4,1,1,3,39,43,37,39,19,3,7,10,53,13,15,25,16,3,3,10,31,8,8,14,5,2,3,1,2941,1000,996,945,2954,802,591,1561,268,86,61,121,260,79,65,116,1693,445,386,862,1455,275,319,861,1272,240,292,740,183,35,27,121,4,0,0,4,4,1,1,2,0,0,0,0,4,1,1,2,4,0,1,3,1,0,0,1,397,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,73,0,70,75,0,0,0,0,81,0,100,62,80,32,10,38,19,6,8,5,42,30,0,12,208,29,141,38,918,354,120,444,1692,571,659,462
Snowyy,SSA-P-10054,Steam|76561198409065326|0,Starter,2024-03-28T14:06:21.000Z,20240328-140621-2024-Major 1-Copenhagen Major-Swiss-1-G1,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,1,1,LIMITLESS,FALSE,FALSE,0,Mannfield (Night),37,23,7,7,30,23,5,2,32,17,9,7,33,28,4,1,48,37,8,3,52,33,11,8,15,10,3,2,17,13,3,1,68,50,11,7,32,19,8,4,2221,2273,2523,2027,477913,319599,98448,59866,288695,200269,53692,34734,179482,113584,41750,24148,170841,106717,41564,22560,8641,6867,186,1588,56,54,71,60,6,3,2,1,19,9,7,3,41,29,6,6,40,31,6,3,0,0,0,0,64,46,12,7,36,24,7,4,32,21,7,4,3,3,0,0,32,31,44,30,15,10,3,2,60,43,10,7,22,14,5,3,18,12,4,2,2,1,1,0,2513,1522,807,184,2579,1693,511,375,210,84,100,26,274,134,97,43,1555,1067,319,169,1472,992,305,175,1335,875,304,156,137,117,1,19,1,0,1,0,2,2,0,0,3,3,0,0,4,4,0,0,3,3,0,0,1,1,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,7,7,0,0,55,55,0,0,0,0,0,0,7,7,0,0,0,0,0,0,70,52,7,11,19,11,7,1,22,12,0,10,194,55,139,0,818,612,84,122,1706,1045,561,100
Sweaty,SSA-P-10056,Steam|76561198965054402|0,Starter,2024-03-28T14:06:21.000Z,20240328-140621-2024-Major 1-Copenhagen Major-Swiss-1-G1,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,1,1,LIMITLESS,FALSE,FALSE,0,Mannfield (Night),36,26,7,3,36,27,6,3,42,24,9,9,27,24,3,0,44,33,8,3,56,40,10,7,15,12,3,0,13,9,2,3,66,54,9,3,34,19,8,6,2539,2531,2845,2453,453930,313620,83861,56449,273645,196716,43050,33879,171944,111293,39476,21175,153145,100071,32168,20906,18799,11222,7308,269,55,52,65,70,6,2,2,1,13,7,4,3,48,33,8,7,39,33,6,1,0,0,0,0,65,49,9,6,35,24,8,3,31,21,6,3,5,3,2,0,42,44,46,29,15,9,2,3,44,30,7,6,31,23,6,2,26,20,4,1,3,2,0,0,2428,1640,520,268,2313,1658,474,181,126,74,26,26,234,98,76,60,1197,870,213,114,1412,963,313,136,1218,858,227,133,194,105,86,3,2,2,0,0,2,2,0,0,1,1,0,0,2,2,0,0,2,2,0,0,2,1,1,0,430,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,5,5,0,0,200,200,0,0,50,50,0,0,76,0,0,76,40,40,0,0,0,0,0,0,81,58,14,9,18,11,5,2,24,24,0,0,472,297,133,42,948,672,168,108,1328,803,367,158
vatira.,EU-P-10012,Steam|76561198960239428|0,Starter,2024-03-28T14:06:21.000Z,20240328-140621-2024-Major 1-Copenhagen Major-Swiss-1-G1,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,1,1,KARMINE CORP,TRUE,FALSE,0,Mannfield (Night),29,7,5,17,40,17,14,10,27,2,5,21,41,24,13,4,45,18,12,15,55,15,14,25,16,2,5,9,18,5,4,10,81,32,24,24,19,1,2,16,2892,3645,3304,1988,509435,167809,140257,201369,296227,117083,88460,90684,202007,47899,49443,104665,178980,45749,47142,86089,23027,2150,2301,18576,60,59,62,59,11,3,3,5,24,8,6,10,43,15,13,16,33,11,7,14,0,0,0,0,62,24,18,21,38,10,9,19,33,9,8,16,5,1,1,4,52,65,59,36,14,1,3,10,38,10,7,22,22,4,8,10,40,20,12,9,10,6,3,1,2440,980,780,680,2422,779,521,1122,289,116,94,79,445,106,126,213,1149,386,301,462,1561,403,358,800,1339,375,333,631,222,28,25,169,4,1,1,2,5,0,1,4,2,1,1,0,3,0,2,1,2,0,0,2,3,0,0,3,510,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,2,1,0,1,15,6,0,9,76,83,0,69,76,0,0,76,8,6,0,9,24,0,0,24,79,37,19,23,17,5,7,5,74,32,17,25,240,132,51,57,874,412,211,251,1460,368,649,443
2Die4,SSA-P-10001,Steam|76561198256947172|0,Starter,2024-03-28T14:16:18.000Z,20240328-141618-2024-Major 1-Copenhagen Major-Swiss-1-G2,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,2,2,LIMITLESS,FALSE,FALSE,0,Forbidden Temple,31,17,7,7,34,21,6,7,34,11,9,15,35,29,5,1,63,37,11,14,37,20,10,7,12,6,3,3,13,5,4,4,69,45,16,9,31,13,6,12,2787,2815,2977,2743,501948,269174,113207,119567,288450,161434,64989,62027,204519,103937,45498,55084,176774,91483,38360,46931,27745,12454,7138,8153,57,53,63,66,6,2,1,3,16,6,4,6,46,25,10,10,38,26,8,4,0,0,0,0,62,37,13,11,38,21,8,9,32,18,7,8,6,3,1,1,47,56,48,22,14,4,4,5,44,19,9,15,18,11,4,3,38,28,8,2,9,9,1,0,2770,1505,812,453,2806,1675,537,594,205,39,40,126,269,93,43,133,1510,849,325,336,1646,889,368,389,1393,761,307,325,253,128,61,64,3,2,0,1,1,1,0,0,5,2,3,0,3,2,1,0,4,1,1,2,2,2,0,0,364,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,1,0,72,0,72,0,58,0,58,0,78,0,0,78,72,0,72,0,49,0,0,49,66,38,11,17,24,12,9,3,6,6,0,0,288,215,42,31,786,450,132,204,2112,985,858,269
Atow.,EU-P-10002,Steam|76561198289610054|0,Starter,2024-03-28T14:16:18.000Z,20240328-141618-2024-Major 1-Copenhagen Major-Swiss-1-G2,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,2,2,KARMINE CORP,TRUE,FALSE,0,Forbidden Temple,36,15,8,12,30,13,11,6,33,7,9,16,32,20,10,2,39,18,12,9,61,24,19,18,39,20,5,14,34,10,11,13,75,37,22,16,25,6,9,11,2484,2399,2887,2205,505863,211776,160871,133216,301552,136704,110648,54200,193697,71731,46773,75193,172800,65093,43756,63951,20897,6638,3017,11242,58,57,60,57,5,2,2,2,17,5,6,5,47,21,15,11,36,16,10,10,0,0,0,0,62,29,22,12,38,14,9,15,33,12,9,12,4,1,0,2,46,51,52,33,15,3,5,7,44,17,12,14,23,10,6,7,34,15,13,5,8,3,5,0,3202,1041,1574,587,2831,1379,656,796,217,79,100,38,226,71,72,83,1437,696,444,297,1583,572,388,623,1389,507,367,515,194,65,21,108,10,4,3,3,7,4,2,1,6,4,1,1,5,4,0,1,2,1,0,1,16,7,2,7,490,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,63,56,7,0,65,58,71,0,23,23,0,0,32,56,7,0,83,83,0,0,104,56,20,28,22,5,12,5,31,19,10,2,257,88,129,40,1217,653,230,334,1943,412,1071,460
rise.,EU-P-10010,Steam|76561198873686308|0,Starter,2024-03-28T14:16:18.000Z,20240328-141618-2024-Major 1-Copenhagen Major-Swiss-1-G2,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,2,2,KARMINE CORP,TRUE,FALSE,0,Forbidden Temple,31,7,11,13,35,20,9,7,38,9,11,19,29,20,7,2,37,17,11,9,63,24,17,22,18,7,5,6,13,5,3,5,71,34,18,18,29,7,10,13,2833,3235,2638,2555,502943,191220,144120,167603,324425,147604,90125,86696,169438,40263,51424,77751,142840,40263,44113,58464,26598,0,7311,19287,58,54,62,62,5,2,1,2,17,5,4,7,51,19,15,16,33,17,8,8,0,0,0,0,67,32,18,17,33,9,10,14,28,9,8,11,5,0,1,3,51,60,50,41,8,2,4,3,39,13,11,16,21,6,8,8,39,23,9,8,7,5,2,1,3435,1788,880,767,3257,1470,809,978,309,131,46,132,214,74,53,87,2031,1031,447,553,1373,365,409,599,1165,365,352,448,208,0,57,151,6,1,3,2,6,1,1,4,4,1,1,2,2,1,0,1,2,1,1,0,6,4,0,2,581,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,3,1,0,2,182,88,0,94,53,43,0,58,63,68,57,0,61,88,0,47,65,69,60,0,99,49,16,34,28,13,9,6,77,37,18,22,316,146,89,81,1111,551,174,386,2484,1154,811,519
Snowyy,SSA-P-10054,Steam|76561198409065326|0,Starter,2024-03-28T14:16:18.000Z,20240328-141618-2024-Major 1-Copenhagen Major-Swiss-1-G2,2024,Major 1,Copenhagen LAN,1,Swiss,1,5,2,2,LIMITLESS,FALSE,FALSE,0,Forbidden Temple,35,16,9,10,32,19,10,3,40,11,14,14,24,19,4,1,60,28,18,14,40,22,10,8,15,6,2,7,9,5,2,2,64,38,16,10,36,11,12,13,2807,2922,3230,2341,538506,259075,156926,122505,299510,156965,86161,56384,227150,97295,66709,63146,211009,88419,63319,59271,16141,8876,3390,3875,61,60,68,62,12,4,5,4,27,10,9,8,44,24,12,8,30,15,8,7,0,0,0,0,60,31,17,11,40,18,11,11,37,16,11,10,3,2,1,1,32,39,30,23,22,7,8,7,61,27,18,16,18,9,5,4,21,14,5,3,2,2,0,0,3070,1528,1176,366,3036,1548,768,720,323,104,151,68,557,158,215,184,1666,806,513,347,1703,762,478,463,1565,678,450,437,138,84,28,26,1,0,1,0,1,1,0,0,9,1,1,7,2,1,1,0,5,4,0,1,1,1,0,0,343,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,2,0,0,2,59,0,0,59,29,0,0,29,66,71,60,0,30,0,0,30,0,0,0,0,85,50,19,16,19,10,7,2,1,1,0,0,232,166,24,42,1019,599,228,192,1668,834,676,158
