Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Regional,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
Wee_Casper,SSA-P-10060,Steam|76561198050138810|0,Starter,2026-03-20T17:06:56.000Z,20260320-170656-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,1,WHITE RABBIT GAMING,FALSE,FALSE,0,Mannfield (Night),31,13,9,9,35,19,9,7,36,10,11,15,33,21,8,4,39,21,11,8,61,26,16,19,18,5,8,5,17,3,5,8,72,35,20,17,28,12,6,10,2705,2779,2726,2576,481235,218786,127438,135011,304582,151091,77900,75591,168647,64702,48032,55913,143497,54522,41717,47258,25150,10180,6315,8655,57,56,57,60,6,2,2,3,18,7,6,6,43,20,11,13,38,20,10,8,0,0,0,0,65,33,16,17,35,14,11,10,29,11,9,8,6,3,2,2,45,48,47,37,13,3,5,5,45,19,12,14,21,10,5,6,34,17,10,6,4,3,1,0,2793,1081,1204,508,2707,1222,735,750,286,99,92,95,272,89,72,111,1519,641,380,498,1434,572,449,413,1166,463,374,329,268,109,75,84,2,0,0,2,2,1,0,1,2,0,2,0,3,1,0,2,3,1,2,0,6,0,4,2,208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,46,0,0,0,0,5,0,0,5,74,44,13,17,21,6,11,4,26,16,10,0,310,103,132,75,862,512,146,204,1790,497,968,325
Wiiilooo,SSA-P-10069,Epic|803b0317876549e09bd3b1e1408f83af|0,Starter,2026-03-20T17:06:56.000Z,20260320-170656-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,1,RISING ESPORTS,TRUE,FALSE,0,Mannfield (Night),36,18,6,11,37,23,9,4,32,10,10,12,46,34,8,3,62,39,11,11,38,18,10,10,22,10,6,6,13,7,3,4,78,51,15,13,22,7,7,8,2727,3029,2843,1927,447706,228388,113471,105847,292622,166272,74111,52239,147263,58893,37376,50994,132499,47865,33640,50994,14764,11028,3736,0,54,48,66,61,4,1,1,2,13,4,4,4,44,20,12,11,43,32,5,6,0,0,0,0,70,44,15,11,30,14,7,10,27,11,6,10,3,3,1,0,40,43,44,32,11,4,4,4,49,27,10,11,24,13,4,7,27,17,7,3,3,2,0,0,2591,1450,773,368,2487,1197,555,735,126,33,56,37,177,47,54,76,1663,857,363,443,1223,557,280,386,1081,447,248,386,142,110,32,0,5,1,1,3,3,1,0,2,3,2,1,0,3,3,0,0,7,4,1,2,7,2,3,2,250,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,81,81,0,0,36,36,0,0,80,0,80,0,81,81,0,0,59,0,59,0,77,51,5,21,21,10,9,2,23,14,0,9,192,95,79,18,901,598,60,243,1908,905,821,182
eglerll,SSA-P-10149,Epic|17fdf636d34644979f98283934f638b8|0,Starter,2026-03-20T17:06:56.000Z,20260320-170656-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,1,RISING ESPORTS,TRUE,FALSE,0,Mannfield (Night),30,13,6,11,33,17,10,6,32,12,8,12,24,15,8,1,61,29,18,14,39,17,9,13,16,5,4,7,14,5,4,5,64,34,17,13,36,12,9,14,2636,2725,3186,2172,453093,193270,125773,134050,263643,127434,83627,52582,180551,63081,39195,78275,166156,59149,34800,72207,14395,3932,4395,6068,55,51,61,59,5,1,2,2,13,3,6,4,45,21,10,15,42,22,11,9,0,0,0,0,62,31,18,12,38,15,8,15,34,13,7,14,3,1,1,1,44,48,53,31,15,5,4,6,46,18,11,17,24,13,6,6,30,15,10,5,9,5,4,1,2081,1029,704,348,2055,963,348,744,91,30,49,12,225,39,91,95,1052,544,222,286,1542,588,341,613,1394,527,306,561,148,61,35,52,1,0,0,1,1,0,0,1,2,0,2,0,2,1,1,0,5,1,1,3,3,0,0,3,570,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,109,109,0,0,75,75,0,0,0,0,0,0,55,55,0,0,0,0,0,0,68,38,18,12,12,5,4,3,59,36,20,3,216,108,66,42,757,420,196,141,984,392,334,258
mass,SSA-P-10156,Steam|76561198082640382|0,Starter,2026-03-20T17:06:56.000Z,20260320-170656-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,1,WHITE RABBIT GAMING,FALSE,FALSE,0,Mannfield (Night),33,16,7,10,32,19,9,4,31,9,9,13,32,25,6,1,48,27,11,10,52,24,16,13,20,8,8,4,14,6,5,3,74,41,19,14,26,9,8,8,2807,3069,3064,2159,507882,244991,133921,128970,319042,152729,96435,69878,179329,88146,35590,55593,168293,82590,33746,51957,11036,5556,1844,3636,61,58,64,69,10,4,2,4,26,11,7,8,43,21,10,12,31,18,9,3,0,0,0,0,64,32,19,13,36,19,8,9,33,18,7,9,3,1,1,1,50,52,58,41,14,5,4,5,40,19,10,11,19,11,4,4,41,21,13,8,9,5,3,1,3010,1693,773,544,2909,1507,634,768,479,233,143,103,410,169,92,149,1693,855,382,456,1436,763,308,365,1329,705,286,338,107,58,22,27,4,1,2,1,3,1,1,1,7,5,2,0,8,3,4,1,3,1,2,0,2,1,1,0,213,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,48,48,0,0,63,63,0,0,68,0,0,68,48,48,0,0,10,0,0,10,99,53,20,26,22,10,8,4,99,77,13,9,360,100,226,34,1089,559,227,303,1840,900,574,366
Appelsous,SSA-P-10265,Epic|2c4f3569d60743beb7521c48e8a334c8|0,Starter,2026-03-20T17:06:56.000Z,20260320-170656-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,1,WHITE RABBIT GAMING,FALSE,FALSE,0,Mannfield (Night),37,12,9,16,34,17,8,8,33,5,8,20,36,27,7,2,46,22,12,12,54,23,11,20,19,5,3,11,22,8,5,8,71,38,17,16,29,7,6,15,2589,2836,2711,2295,464109,209108,100571,154430,286179,139748,61123,85308,169466,65625,37976,65865,149999,62127,31653,56219,19467,3498,6323,9646,56,55,57,59,7,3,1,2,17,7,4,6,41,19,7,15,42,20,12,11,0,0,0,0,66,33,15,18,34,13,8,13,30,12,7,11,4,1,1,2,47,48,53,43,14,4,3,7,43,20,8,14,24,10,7,7,33,16,7,10,6,3,3,1,2533,1212,592,729,2439,1245,399,795,158,60,37,61,276,137,62,77,1456,766,235,455,1402,525,337,540,1214,490,274,450,188,35,63,90,2,0,1,1,3,0,2,1,3,0,1,2,7,4,1,2,5,3,1,1,4,1,0,3,207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,79,46,10,23,19,9,5,5,62,41,13,8,468,131,249,88,886,511,107,268,1432,769,251,412
halouest,SSA-P-10283,Steam|76561198313085741|0,Starter,2026-03-20T17:06:56.000Z,20260320-170656-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,1,RISING ESPORTS,TRUE,FALSE,0,Mannfield (Night),36,16,8,12,32,22,5,5,37,12,8,17,32,26,4,1,49,25,9,15,51,28,11,12,27,5,8,14,20,6,4,9,71,41,14,15,29,12,5,12,2601,2950,2477,2046,485137,245424,100931,138782,274907,162505,55531,56871,200119,78567,43297,78255,169787,65680,35539,68568,30332,12887,7758,9687,57,55,61,61,8,2,2,3,18,7,4,6,45,23,9,13,37,22,6,8,0,0,0,0,61,37,11,12,39,16,8,15,33,13,7,13,6,3,2,2,48,56,44,36,17,6,6,6,41,18,9,13,22,9,4,9,38,26,7,5,14,11,3,1,2354,1399,589,366,2405,1075,473,857,148,89,37,22,321,96,107,118,1007,487,176,344,1610,645,355,610,1345,540,276,529,265,105,79,81,3,0,0,3,5,1,1,3,7,0,2,5,6,1,2,3,6,1,2,3,3,0,1,2,406,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,34,16,19,15,10,3,2,49,8,29,12,232,147,77,8,779,400,163,216,1268,853,223,192
Dcln.,SSA-P-10087,Steam|76561198360259888|0,Starter,2026-03-20T17:07:13.000Z,20260320-170713-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,2,SYNTHESIS,TRUE,FALSE,0,Mannfield (Night),38,19,9,9,30,19,5,6,44,16,12,15,25,22,2,1,42,21,10,11,58,33,12,13,17,9,4,4,16,9,3,4,69,41,16,13,31,12,7,12,2237,2256,2158,2269,494590,241939,120195,132456,300614,151128,76356,73130,182976,85938,41636,55402,150733,69957,32333,48443,32243,15981,9303,6959,59,54,63,65,9,3,3,3,20,7,6,7,44,22,11,12,35,24,6,6,0,0,0,0,64,35,14,15,36,18,8,9,28,14,6,8,8,4,2,1,48,53,49,37,17,5,4,8,38,17,8,12,25,15,6,5,37,21,9,7,8,6,1,1,2856,1534,891,431,2761,1565,610,586,266,100,80,86,365,124,116,125,1512,774,351,387,1460,738,338,384,1136,571,243,322,324,167,95,62,3,1,1,1,4,2,1,1,2,2,0,0,6,4,1,1,7,2,2,3,5,2,2,1,460,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,4,2,0,2,1,0,0,1,77,0,0,77,68,0,0,68,77,76,0,78,77,0,0,77,37,32,0,42,80,43,16,21,22,12,8,2,58,37,12,9,396,136,188,72,902,479,180,243,1804,1064,612,128
Dapz,SSA-P-10076,Steam|76561198330106723|0,Starter,2026-03-20T17:07:13.000Z,20260320-170713-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,2,SYNTHESIS,TRUE,FALSE,0,Mannfield (Night),23,10,6,7,40,27,10,4,21,9,5,7,43,32,9,2,51,31,11,9,49,31,11,6,6,3,2,1,8,4,1,3,79,52,18,9,21,11,4,6,2777,2866,3113,2301,380684,226661,87090,66933,252981,156074,63518,33389,121132,66796,21562,32774,110474,59731,21562,29181,10658,7065,0,3593,47,45,52,55,2,1,1,0,7,3,2,2,30,18,6,6,62,42,14,6,0,0,0,0,71,46,17,8,29,17,5,7,26,14,5,6,3,2,0,1,44,42,60,35,10,4,2,4,47,30,8,8,26,20,4,3,27,13,11,4,6,3,3,0,1635,861,500,274,1832,982,447,403,58,19,10,29,80,42,21,17,966,457,303,206,1144,661,206,277,1003,558,206,239,141,103,0,38,2,1,0,1,3,1,2,0,0,0,0,0,3,1,2,0,4,1,2,1,0,0,0,0,360,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,33,14,19,0,38,44,33,0,0,0,0,0,8,7,10,0,0,0,0,0,62,43,8,11,10,3,5,2,2,2,0,0,182,53,129,0,742,514,96,132,818,247,371,200
mshnn.,SSA-P-10276,Steam|76561198166610066|0,Starter,2026-03-20T17:07:13.000Z,20260320-170713-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,2,SYNTHESIS,TRUE,FALSE,0,Mannfield (Night),40,21,10,9,32,21,6,5,37,12,11,14,34,27,7,0,43,24,11,8,57,35,12,10,14,6,5,3,14,4,5,5,72,50,14,8,28,10,8,10,2413,2602,2537,2051,436469,232485,103400,100584,258439,150897,59178,48364,169769,78405,42317,49047,140919,59541,34263,47115,28850,18864,8054,1932,51,46,63,65,6,2,1,3,14,5,3,6,40,22,10,8,45,31,10,4,1,1,0,0,65,41,14,10,35,18,9,8,30,15,7,8,5,3,2,0,50,57,53,28,14,4,6,5,42,18,11,13,23,18,2,3,35,24,9,3,20,14,5,1,2300,1315,590,395,2121,1327,295,499,68,22,6,40,272,83,53,136,808,474,117,217,1441,748,356,337,1211,600,284,327,230,148,72,10,4,3,1,0,2,2,0,0,5,2,2,1,4,2,1,1,5,3,1,1,1,1,0,0,331,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,42,12,18,21,11,6,4,27,15,12,0,499,312,110,77,837,489,132,216,1601,788,490,323
kayvee,SSA-P-10284,Steam|76561199020087450|0,Starter,2026-03-20T17:07:13.000Z,20260320-170713-2026-Paris Major-Open 4-GSL-UQF-G1,2026,Paris Major,Open 4,1,GSL,UQF,5,1,2,TEAM ESPIONAGE,FALSE,FALSE,0,Mannfield (Night),28,11,6,11,36,22,7,6,26,4,6,15,46,34,9,3,55,28,12,15,45,24,8,13,16,5,3,8,19,7,4,8,76,45,15,16,24,7,5,11,2893,3256,2912,2199,527086,273055,119640,134391,325713,194508,70671,60534,191939,74470,46976,70493,163108,62797,38910,61401,28831,11673,8066,9092,63,63,70,59,13,5,4,4,28,14,8,7,44,23,10,10,28,15,3,10,0,0,0,0,63,39,12,12,37,13,8,15,31,12,7,13,6,2,2,2,39,39,47,35,15,5,3,7,51,28,8,16,21,11,5,5,27,13,7,7,5,2,1,2,3136,1745,698,693,3065,1557,577,931,544,305,118,121,530,210,151,169,1796,1035,301,460,1485,536,343,606,1233,458,271,504,252,78,72,102,6,2,1,3,4,2,1,1,0,0,0,0,4,3,0,1,6,2,2,2,4,0,1,3,214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,61,59,2,0,32,28,36,0,0,0,0,0,31,59,2,0,0,0,0,0,89,53,11,25,22,13,6,3,26,7,0,19,431,283,136,12,1042,629,132,281,1769,1017,464,288
