Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Regional,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
devour (le passion),SSA-P-10213,Steam|76561198263072484|0,Starter,2026-04-03T17:05:22.000Z,20260403-170522-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,1,ASTRONIC ESPORTS,FALSE,FALSE,0,Mannfield (Night),34,14,7,13,37,18,8,11,44,8,13,23,28,21,4,3,53,21,13,18,47,23,11,13,19,9,4,6,10,3,4,3,59,34,13,13,41,10,11,19,2846,2953,2996,2650,483703,212204,111870,159629,311054,147305,71801,91948,164378,62117,37909,64352,135648,47699,35844,52105,28730,14418,2065,12247,58,57,57,60,8,3,2,3,19,6,4,9,47,23,10,14,34,15,9,9,0,0,0,0,68,32,16,20,32,12,8,12,27,9,8,10,6,3,0,2,47,53,49,38,19,4,6,8,42,16,11,16,19,9,3,7,39,19,10,9,10,6,3,1,2774,808,1221,745,2771,1324,529,918,245,66,45,134,324,109,68,147,1547,670,341,536,1322,499,329,494,1083,377,313,393,239,122,16,101,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,0,1,94,0,0,94,78,0,0,78,80,80,0,80,94,0,0,94,25,0,0,49,65,40,7,18,20,5,10,5,28,24,4,0,358,127,182,49,752,456,80,216,1642,373,818,451
insp1re,SSA-P-10215,Steam|76561198428353857|0,Starter,2026-04-03T17:05:22.000Z,20260403-170522-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,1,ASTRONIC ESPORTS,FALSE,FALSE,0,Mannfield (Night),34,21,6,6,42,24,9,9,29,8,7,14,45,33,10,2,57,32,14,11,43,24,10,9,19,16,1,2,13,8,3,2,74,49,17,8,26,7,7,12,2970,2918,3124,3309,486832,265078,113704,108050,277802,159070,67611,51121,199206,101621,43404,54181,161642,79553,31591,50498,37564,22068,11813,3683,59,57,65,64,8,3,2,3,21,10,5,7,43,24,10,8,36,22,8,5,0,0,0,0,61,36,15,11,39,20,8,10,31,16,6,9,8,5,2,1,50,56,49,41,12,6,3,3,37,17,10,10,23,14,6,4,40,25,8,7,11,8,3,1,2767,1465,568,734,2627,1354,539,734,327,108,65,154,350,141,75,134,1209,622,258,329,1554,823,336,395,1228,619,239,370,326,204,97,25,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,444,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,2,2,0,0,123,123,0,0,39,39,0,0,63,82,0,43,62,62,0,0,53,100,0,5,76,49,10,17,24,12,7,5,64,43,12,9,681,397,232,52,848,545,108,195,1719,803,468,448
SkillSteal,SSA-P-10053,Steam|76561198049806548|0,Starter,2026-04-03T17:05:22.000Z,20260403-170522-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,1,ASTRONIC ESPORTS,FALSE,FALSE,0,Mannfield (Night),35,14,7,14,23,17,5,2,30,9,7,14,29,24,3,2,53,30,12,11,47,23,9,14,14,6,4,4,10,7,2,2,70,40,15,15,30,13,7,10,2359,2729,2336,1657,443761,233178,97462,113121,280477,156072,56614,67791,155662,73626,38763,43273,137171,66730,34258,36183,18491,6896,4505,7090,55,54,58,57,6,3,2,2,16,7,4,4,39,21,8,10,45,25,9,10,0,0,0,0,67,38,13,16,33,15,8,9,27,13,7,7,5,2,1,2,46,50,47,39,15,5,3,7,42,19,9,14,26,16,7,3,32,18,6,9,9,7,0,2,2097,1304,263,530,2014,1001,440,573,121,42,36,43,234,104,64,66,939,549,140,250,1289,602,323,364,1073,516,271,286,216,86,52,78,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,162,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,1,153,153,0,0,57,50,0,76,0,0,0,0,38,51,0,0,0,0,0,0,84,49,15,20,15,8,2,5,39,27,8,4,360,193,85,82,969,561,172,236,1140,607,115,418
GoldNiNja,SSA-P-10115,Steam|76561198294115607|0,Starter,2026-04-03T17:05:22.000Z,20260403-170522-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,1,THE PUNISHERS,TRUE,FALSE,0,Mannfield (Night),30,11,9,11,38,23,8,7,36,9,9,18,36,23,10,2,58,25,17,16,42,22,9,11,20,8,9,3,12,5,5,2,71,38,19,13,29,9,7,14,3092,3477,3161,2631,466506,200824,122517,143165,285707,132606,74755,78346,171406,64205,45317,61884,153992,60474,41196,52322,17414,3731,4121,9562,57,52,62,64,6,2,2,2,17,5,5,7,45,20,11,14,38,22,10,6,0,0,0,0,63,31,16,16,37,15,10,11,33,14,9,10,4,1,1,2,43,45,48,39,11,5,4,2,41,20,10,11,32,12,9,11,27,14,7,5,2,2,0,0,2085,1227,420,438,2057,926,391,740,121,52,23,46,224,67,66,91,1011,429,162,420,1484,608,414,462,1317,565,372,380,167,43,42,82,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,493,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,2,0,0,2,84,0,0,84,72,0,0,72,81,82,0,79,42,0,0,42,34,40,0,28,87,50,18,19,12,7,2,3,13,8,1,4,242,216,14,12,1031,592,215,224,958,484,186,288
Marmoan,SSA-P-10155,Steam|76561198964108963|0,Starter,2026-04-03T17:05:22.000Z,20260403-170522-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,1,THE PUNISHERS,TRUE,FALSE,0,Mannfield (Night),40,16,9,16,30,17,9,4,29,8,5,16,37,26,10,1,51,28,12,11,49,23,11,16,29,19,2,8,35,13,7,16,75,42,18,15,25,8,4,13,2544,2816,2825,1888,475110,229063,104936,141111,296098,160172,66046,69880,171352,65993,37360,67999,135368,50703,31407,53258,35984,15290,5953,14741,57,55,59,62,7,2,2,3,21,9,6,6,42,19,8,14,37,22,9,7,0,0,0,0,65,36,15,14,35,14,8,13,27,11,6,10,8,3,1,3,43,46,55,28,18,6,3,9,50,24,9,17,16,9,3,5,33,17,11,5,11,7,3,1,2576,1426,586,564,2527,1112,560,855,182,64,50,68,286,86,75,125,1373,642,282,449,1407,561,312,534,1092,425,262,405,315,136,50,129,2,2,0,0,3,2,0,1,0,0,0,0,2,1,0,1,1,0,0,1,2,2,0,0,270,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,2,0,0,100,100,0,0,43,43,0,0,79,79,0,0,50,50,0,0,62,62,0,0,50,29,9,12,23,12,7,4,26,16,10,0,404,220,184,0,574,332,98,144,1896,980,516,400
Shadow,SSA-P-10128,Steam|76561198875402590|0,Starter,2026-04-03T17:05:22.000Z,20260403-170522-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,1,THE PUNISHERS,TRUE,FALSE,0,Mannfield (Night),31,12,6,13,34,15,9,10,36,7,8,21,29,21,6,2,34,12,8,14,66,30,14,23,14,8,3,3,21,11,6,5,68,34,14,20,32,8,7,17,2863,2794,3487,2706,488005,193594,109197,185214,253660,106513,59357,87790,223167,83320,46972,92875,186845,67139,35637,84069,36322,16181,11335,8806,58,55,64,59,7,1,2,4,15,4,4,8,48,20,11,17,37,18,6,12,0,0,0,0,56,25,12,19,44,16,9,18,35,13,7,16,9,3,3,2,30,31,34,28,29,9,7,12,63,27,13,23,19,7,2,10,18,8,6,5,3,1,1,0,2397,662,892,843,2433,1046,453,934,139,20,28,91,296,57,80,159,1181,436,277,468,1791,677,381,733,1417,526,262,629,374,151,119,104,2,1,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,16,30,13,1,6,6,25,5,16,4,44,0,16,28,995,463,176,356,1256,100,584,572
strutic,SSA-P-10055,Steam|76561197988808523|0,Starter,2026-04-03T17:05:41.000Z,20260403-170541-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,2,BANG BANG BOIS 2-1!!!,TRUE,TRUE,51,Mannfield (Night),32,10,8,14,30,19,7,4,27,6,7,14,31,21,8,2,52,23,14,14,48,21,11,16,11.97,2.56,5.98,3.42,14,5,3,7,79,39,19,21,21,6,6,10,2721,2958,2836,2361,497803.42,214136.75,126597.44,157069.23,302179.49,152371.79,79021.37,70786.32,185404.27,58556.41,44677.78,82170.09,162121.37,55005.98,39178.63,67936.75,23282.91,3550.43,5499.15,14233.33,58,56,62,61,8,3,2,3,19,7,6,6,44,19,10,15,36,17,9,10,1,1,0,0,65,33,16,16,35,12,9,15,30,10,7,12,5,1,1,3,42,49,45,31,17,4,5,8,48,19,12,17,21,9,5,8,30,16,9,6,7,4,2,1,2711.11,1311.97,847.01,552.14,2615.38,1141.88,561.54,911.97,193.16,102.56,61.54,29.06,340.17,111.97,107.69,120.51,1438.46,667.52,339.32,431.62,1422.22,459.83,354.7,607.69,1203.42,414.53,290.6,498.29,218.8,45.3,64.1,109.4,2.56,1.71,0.85,0,7.69,2.56,2.56,2.56,0.85,0,0.85,0,5.13,0.85,1.71,2.56,0.85,0,0,0.85,2.56,0,2.56,0,382.05,0,0,0,1.71,0,0,0,4.27,0,0,0,0,0,0,0,1.71,0,0,0,0.85,0,0.85,0,1.71,0.85,0.85,0,103.42,72.65,30.77,0,68,69,67,0,76,0,76,0,61,85,36,0,0,0,0,0,84.62,41.88,17.95,24.79,17.09,8.55,5.13,3.42,40.17,18.8,20.51,0.85,210.26,110.26,35.9,64.1,975.21,483.76,194.87,296.58,1499.15,744.44,476.92,277.78
Teschow.,SSA-P-10197,Epic|c8de705537ba4831ad0e6656a2839d50|0,Starter,2026-04-03T17:05:41.000Z,20260403-170541-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,2,BANG BANG BOIS 2-1!!!,TRUE,TRUE,51,Mannfield (Night),32,13,6,13,36,19,12,5,34,11,8,15,38,25,11,2,52,23,13,16,48,28,12,8,20.51,5.13,4.27,11.11,23,9,5,9,77,42,20,15,23,9,5,9,2895,3170,3389,2014,491522.22,240671.79,123315.38,127535.04,305484.62,159762.39,94621.37,51100.85,177705.98,77500,27173.5,73032.48,156723.93,66533.33,23742.74,66447.86,20982.05,10966.67,3430.77,6584.62,57,55,61,63,6,2,1,2,16,7,4,4,48,22,11,14,35,20,10,5,1,1,0,0,68,36,21,11,32,14,5,13,28,12,4,11,4,2,1,1,51,55,65,31,12,4,4,5,36,16,7,14,25,13,5,7,38,22,13,3,12,5,7,0,2663.25,1361.54,1028.21,273.5,2477.78,1232.48,425.64,819.66,148.72,79.49,26.5,42.74,245.3,99.15,60.68,85.47,1391.45,670.09,312.82,408.55,1309.4,573.5,202.56,533.33,1128.21,481.2,176.92,470.09,181.2,92.31,25.64,63.25,8.55,3.42,2.56,2.56,4.27,0.85,1.71,1.71,5.13,0,2.56,2.56,5.13,0.85,0,4.27,5.98,1.71,0,4.27,3.42,0.85,0,2.56,442.74,0,0,0,0,0,0,0,2.56,0,0,0,1.71,0,0,0,2.56,0,0,0,0.85,0.85,0,0,1.71,0,1.71,0,94.02,0,94.02,0,45,0,45,0,66,66,0,0,55,0,55,0,40,40,0,0,80.34,50.43,10.26,19.66,21.37,10.26,9.4,1.71,31.62,26.5,5.13,0,495.73,249.57,182.91,63.25,932.48,578.63,117.95,235.9,1641.03,776.07,757.26,107.69
Tristiano Swartznaldo,SSA-P-10072,Steam|76561198050017727|0,Starter,2026-04-03T17:05:41.000Z,20260403-170541-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,2,BANG BANG BOIS 2-1!!!,TRUE,TRUE,51,Mannfield (Night),37,15,6,16,35,18,10,8,41,10,9,22,32,21,9,2,49,22,11,16,51,21,12,18,17.95,5.13,3.42,9.4,17,4,3,10,72,36,18,18,28,7,6,15,2744,2975,3451,2194,476865.81,201288.89,111860.68,163716.24,286705.13,126020.51,72523.93,88160.68,182030.77,72410.26,37471.79,72148.72,161564.96,64778.63,36062.39,60723.93,20465.81,7631.62,1409.4,11424.79,56,54,62,57,5,2,1,3,13,4,3,6,47,20,12,15,38,17,9,13,1,1,0,0,65,29,16,20,35,14,7,14,31,12,7,11,4,2,0,2,44,49,54,34,18,5,6,8,48,19,10,20,17,7,4,6,35,17,10,8,7,3,3,1,2559.83,1288.89,508.55,762.39,2623.08,1203.42,446.15,973.5,131.62,41.88,24.79,64.96,231.62,66.67,53.85,111.11,1340.17,617.09,238.46,484.62,1447.01,580.34,305.98,560.68,1266.67,502.56,295.73,468.38,180.34,77.78,10.26,92.31,5.13,0.85,0.85,3.42,4.27,0.85,0,3.42,3.42,0,2.56,0.85,5.13,3.42,0,1.71,4.27,2.56,0.85,0.85,5.13,0.85,0.85,3.42,427.35,0,0,0,0.85,0,0,0,2.56,0,0,0,0.85,0,0,0,1.71,0,0,0,0.85,0,0.85,0,0.85,0,0,0.85,8.55,0,0,8.55,81,0,0,81,52,0,52,0,10,0,0,10,82,0,82,0,66.67,40.17,11.11,15.38,19.66,9.4,4.27,5.98,24.79,20.51,4.27,0,167.52,58.12,63.25,46.15,775.21,461.54,129.06,184.62,1798.29,882.05,364.1,552.14
Anyeelo.,SSA-P-10142,Steam|76561198405871360|0,Starter,2026-04-03T17:05:41.000Z,20260403-170541-2026-Paris Major-Open 5-GSL-UQF-G1,2026,Paris Major,Open 5,1,GSL,UQF,5,1,2,TEAM HSK,FALSE,TRUE,51,Mannfield (Night),38,22,6,9,29,21,6,1,34,15,9,11,29,23,5,1,48,28,11,10,52,34,10,8,18.8,9.4,5.13,4.27,14,8,3,3,73,49,14,9,27,12,7,9,2451,2575,2697,1835,442113.68,249190.6,101042.74,91880.34,240666.67,157339.32,50553.85,32773.5,192611.97,87479.49,48325.64,56806.84,161905.13,77384.62,42128.21,42392.31,30706.84,10094.87,6197.44,14414.53,52,47,58,61,4,1,2,1,9,3,4,2,44,26,8,10,45,31,9,5,1,1,0,0,59,40,12,7,41,21,9,10,34,18,8,8,7,3,2,3,42,48,39,24,18,6,5,7,50,26,12,13,20,14,3,2,30,21,6,3,8,6,2,0,2207.69,1288.89,719.66,199.15,2236.75,1386.32,433.33,417.09,43.59,21.37,19.66,2.56,160.68,34.19,70.09,56.41,977.78,623.08,198.29,156.41,1708.55,877.78,389.74,441.03,1389.74,743.59,319.66,326.5,318.8,134.19,70.09,114.53,4.27,0.85,0.85,2.56,5.13,1.71,1.71,1.71,4.27,2.56,1.71,0,3.42,2.56,0,0.85,5.98,3.42,0.85,1.71,5.98,1.71,2.56,1.71,480.34,0,0,0,0.85,0,0,0,1.71,0,0,0,0.85,0,0,0,2.56,0,0,0,0.85,0.85,0,0,0.85,0,0.85,0,0,0,0,0,9,0,9,0,81,81,0,0,0,0,0,0,0,0,0,0,61.54,39.32,11.97,10.26,15.38,7.69,6.84,0.85,9.4,9.4,0,0,180.34,61.54,118.8,0,729.06,462.39,143.59,123.08,1358.12,707.69,564.96,85.47
