Player Name,Unique ID,Player ID,Role,Date,Match ID,Season,Split,Regional,Day,Stage,Round,Best of ,Game Number,Game,Team,Victory,OT,Extra Time,Arena,Closest to Ball_All Zones,Closest to Ball_Defense Zone,Closest to Ball_Neutral Zone,Closest to Ball_Offense Zone,Furthest from Ball_All Zones,Furthest from Ball_Defense Zone,Furthest from Ball_Neutral Zone,Furthest from Ball_Offense Zone,First man_All Zones,First man_Defense Zone,First man_Neutral Zone,First man_Offense Zone,Last man_All Zones,Last man_Defense Zone,Last man_Neutral Zone,Last man_Offense Zone,Left Side_All Zones,Left Side_Defense Zone,Left Side_Neutral Zone,Left Side_Offense Zone,Right Side_All Zones,Right Side_Defense Zone,Right Side_Neutral Zone,Right Side_Offense Zone,Ball Touches_All Zones,Ball Touches_Defense Zone,Ball Touches_Neutral Zone,Ball Touches_Offense Zone,Time on Ball_All Zones,Time on Ball_Defense Zone,Time on Ball_Neutral Zone,Time on Ball_Offense Zone,Behind Ball_All Zones,Behind Ball_Defense Zone,Behind Ball_Neutral Zone,Behind Ball_Offense Zone,Ahead of Ball_All Zones,Ahead of Ball_Defense Zone,Ahead of Ball_Neutral Zone,Ahead of Ball_Offense Zone,Facing Ball_All Zones,Facing Ball_Defense Zone,Facing Ball_Neutral Zone,Facing Ball_Offense Zone,Average Ball Distance_All Zones,Average Ball Distance_Defense Zone,Average Ball Distance_Neutral Zone,Average Ball Distance_Offense Zone,Distance traveled_All Zones,Distance traveled_Defense Zone,Distance traveled_Neutral Zone,Distance traveled_Offense Zone,Distance traveled on ground_All Zones,Distance traveled on ground_Defense Zone,Distance traveled on ground_Neutral Zone,Distance traveled on ground_Offense Zone,Distance traveled in the air_All Zones,Distance traveled in the air_Defense Zone,Distance traveled in the air_Neutral Zone,Distance traveled in the air_Offense Zone,Distance traveled in low air_All Zones,Distance traveled in low air_Defense Zone,Distance traveled in low air_Neutral Zone,Distance traveled in low air_Offense Zone,Distance traveled in high air_All Zones,Distance traveled in high air_Defense Zone,Distance traveled in high air_Neutral Zone,Distance traveled in high air_Offense Zone,Average Speed_All Zones,Average Speed_Defense Zone,Average Speed_Neutral Zone,Average Speed_Offense Zone,Max Speed (82.8)_All Zones,Max Speed (82.8)_Defense Zone,Max Speed (82.8)_Neutral Zone,Max Speed (82.8)_Offense Zone,SuperSonic (80+)_All Zones,SuperSonic (80+)_Defense Zone,SuperSonic (80+)_Neutral Zone,SuperSonic (80+)_Offense Zone,Boost Speed (50-79)_All Zones,Boost Speed (50-79)_Defense Zone,Boost Speed (50-79)_Neutral Zone,Boost Speed (50-79)_Offense Zone,Drive Speed (1-49)_All Zones,Drive Speed (1-49)_Defense Zone,Drive Speed (1-49)_Neutral Zone,Drive Speed (1-49)_Offense Zone,Stopped_All Zones,Stopped_Defense Zone,Stopped_Neutral Zone,Stopped_Offense Zone,On Ground_All Zones,On Ground_Defense Zone,On Ground_Neutral Zone,On Ground_Offense Zone,In Air_All Zones,In Air_Defense Zone,In Air_Neutral Zone,In Air_Offense Zone,In Low Air_All Zones,In Low Air_Defense Zone,In Low Air_Neutral Zone,In Low Air_Offense Zone,In High Air_All Zones,In High Air_Defense Zone,In High Air_Neutral Zone,In High Air_Offense Zone,Average Boost_All Zones,Average Boost_Defense Zone,Average Boost_Neutral Zone,Average Boost_Offense Zone,Empty (0)_All Zones,Empty (0)_Defense Zone,Empty (0)_Neutral Zone,Empty (0)_Offense Zone,Low (0-33)_All Zones,Low (0-33)_Defense Zone,Low (0-33)_Neutral Zone,Low (0-33)_Offense Zone,Medium (34-66)_All Zones,Medium (34-66)_Defense Zone,Medium (34-66)_Neutral Zone,Medium (34-66)_Offense Zone,High (67-100)_All Zones,High (67-100)_Defense Zone,High (67-100)_Neutral Zone,High (67-100)_Offense Zone,Full (100)_All Zones,Full (100)_Defense Zone,Full (100)_Neutral Zone,Full (100)_Offense Zone,Boost Gained_All Zones,Boost Gained_Defense Zone,Boost Gained_Neutral Zone,Boost Gained_Offense Zone,Boost Lost_All Zones,Boost Lost_Defense Zone,Boost Lost_Neutral Zone,Boost Lost_Offense Zone,Boost Lost while SuperSonic_All Zones,Boost Lost while SuperSonic_Defense Zone,Boost Lost while SuperSonic_Neutral Zone,Boost Lost while SuperSonic_Offense Zone,Boost Lost while Max Speed_All Zones,Boost Lost while Max Speed_Defense Zone,Boost Lost while Max Speed_Neutral Zone,Boost Lost while Max Speed_Offense Zone,Boost Lost on Ground_All Zones,Boost Lost on Ground_Defense Zone,Boost Lost on Ground_Neutral Zone,Boost Lost on Ground_Offense Zone,Boost Lost in Air_All Zones,Boost Lost in Air_Defense Zone,Boost Lost in Air_Neutral Zone,Boost Lost in Air_Offense Zone,Boost Lost in Low Air_All Zones,Boost Lost in Low Air_Defense Zone,Boost Lost in Low Air_Neutral Zone,Boost Lost in Low Air_Offense Zone,Boost Lost in High Air_All Zones,Boost Lost in High Air_Defense Zone,Boost Lost in High Air_Neutral Zone,Boost Lost in High Air_Offense Zone,Passes Given_All Zones,Passes Given_Defense Zone,Passes Given_Neutral Zone,Passes Given_Offense Zone,Passes Received_All Zones,Passes Received_Defense Zone,Passes Received_Neutral Zone,Passes Received_Offense Zone,50/50s_All Zones,50/50s_Defense Zone,50/50s_Neutral Zone,50/50s_Offense Zone,Possession Losses_All Zones,Possession Losses_Defense Zone,Possession Losses_Neutral Zone,Possession Losses_Offense Zone,Interceptions_All Zones,Interceptions_Defense Zone,Interceptions_Neutral Zone,Interceptions_Offense Zone,Self Touches_All Zones,Self Touches_Defense Zone,Self Touches_Neutral Zone,Self Touches_Offense Zone,Score_All Zones,Score_Defense Zone,Score_Neutral Zone,Score_Offense Zone,Goals_All Zones,Goals_Defense Zone,Goals_Neutral Zone,Goals_Offense Zone,Shots_All Zones,Shots_Defense Zone,Shots_Neutral Zone,Shots_Offense Zone,Assists_All Zones,Assists_Defense Zone,Assists_Neutral Zone,Assists_Offense Zone,Saves_All Zones,Saves_Defense Zone,Saves_Neutral Zone,Saves_Offense Zone,Kills_All Zones,Kills_Defense Zone,Kills_Neutral Zone,Kills_Offense Zone,Deaths_All Zones,Deaths_Defense Zone,Deaths_Neutral Zone,Deaths_Offense Zone,Boost Lost When Demoed_All Zones,Boost Lost When Demoed_Defense Zone,Boost Lost When Demoed_Neutral Zone,Boost Lost When Demoed_Offense Zone,Avg Speed When Demoed_All Zones,Avg Speed When Demoed_Defense Zone,Avg Speed When Demoed_Neutral Zone,Avg Speed When Demoed_Offense Zone,Avg Speed After Killing_All Zones,Avg Speed After Killing_Defense Zone,Avg Speed After Killing_Neutral Zone,Avg Speed After Killing_Offense Zone,Avg Boost When Demoed_All Zones,Avg Boost When Demoed_Defense Zone,Avg Boost When Demoed_Neutral Zone,Avg Boost When Demoed_Offense Zone,Avg Boost When Killing_All Zones,Avg Boost When Killing_Defense Zone,Avg Boost When Killing_Neutral Zone,Avg Boost When Killing_Offense Zone,Small Pads Collected_All Zones,Small Pads Collected_Defense Zone,Small Pads Collected_Neutral Zone,Small Pads Collected_Offense Zone,Big Boosts Collected_All Zones,Big Boosts Collected_Defense Zone,Big Boosts Collected_Neutral Zone,Big Boosts Collected_Offense Zone,Overfill from Small Pads_All Zones,Overfill from Small Pads_Defense Zone,Overfill from Small Pads_Neutral Zone,Overfill from Small Pads_Offense Zone,Overfill from Big Boosts_All Zones,Overfill from Big Boosts_Defense Zone,Overfill from Big Boosts_Neutral Zone,Overfill from Big Boosts_Offense Zone,Boost Gained from Small Pads_All Zones,Boost Gained from Small Pads_Defense Zone,Boost Gained from Small Pads_Neutral Zone,Boost Gained from Small Pads_Offense Zone,Boost Gained from Big Boosts_All Zones,Boost Gained from Big Boosts_Defense Zone,Boost Gained from Big Boosts_Neutral Zone,Boost Gained from Big Boosts_Offense Zone
tweex,SSA-P-10270,Steam|76561198303997299|0,Starter,2026-04-17T17:06:52.000Z,20260417-170652-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,1,DEATH CLOUD ESPORTS,TRUE,FALSE,0,Mannfield (Night),28,9,7,12,34,15,9,10,32,7,8,18,34,20,10,4,47,18,14,16,53,23,12,17,16,5,5,6,19,6,5,8,69,34,20,15,31,7,7,18,10,10,11,10,2762,2880,2903,2501,499827,188886,135018,175923,319146,133276,97842,88028,171426,52491,35359,83576,162009,49512,33491,79006,9417,2979,1868,4570,59,54,60,63,8,1,1,5,20,5,5,10,46,20,12,14,32,15,9,8,1,1,0,0,67,30,19,18,33,11,7,15,31,10,7,14,2,1,0,1,47,53,46,40,9,2,2,5,40,15,10,15,25,10,6,9,35,17,10,9,4,2,1,1,2736,1054,812,870,2676,1013,559,1104,305,100,101,104,320,61,42,217,1471,635,354,482,1353,446,301,606,1271,420,285,566,82,26,16,40,4,2,1,1,8,1,3,4,1,0,1,0,5,1,1,3,5,3,1,1,2,1,1,0,414,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,44,32,12,0,60,37,82,0,52,52,0,0,22,32,12,0,0,0,0,0,79,38,18,23,21,7,7,7,14,4,1,9,374,220,90,64,934,452,215,267,1816,775,447,594
kam,SSA-P-10031,Steam|76561198812926287|0,Starter,2026-04-17T17:06:52.000Z,20260417-170652-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,1,DEATH CLOUD ESPORTS,TRUE,FALSE,0,Mannfield (Night),36,13,8,15,35,18,9,8,35,5,8,22,35,22,9,3,46,22,9,16,54,22,14,19,20,6,7,7,17,7,2,8,72,38,17,17,28,5,6,17,10,11,8,9,2676,2930,2947,2251,470326,191629,109933,168764,278439,128181,67105,83153,182419,60002,41376,81041,154018,56410,40002,57606,28401,3592,1374,23435,55,53,59,58,5,2,2,1,16,6,4,5,42,16,9,17,41,20,10,11,1,1,0,0,63,30,14,18,37,13,8,16,31,12,8,11,7,1,0,5,42,49,54,27,19,5,3,11,51,19,10,23,17,8,2,7,32,16,11,5,10,6,4,0,2620,1101,863,656,2494,1065,544,885,149,60,15,74,213,99,72,42,1172,495,238,439,1548,550,348,650,1265,493,335,437,283,57,13,213,7,3,0,4,6,1,2,3,5,2,3,0,5,1,3,1,3,2,0,1,5,2,1,2,266,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,1,1,0,127,85,42,0,79,82,76,0,66,0,83,49,64,85,42,0,0,0,0,0,90,48,12,30,21,7,10,4,28,27,0,1,278,39,191,48,1052,549,144,359,1353,674,470,209
carca,SSA-P-10210,Steam|76561198995240510|0,Starter,2026-04-17T17:06:52.000Z,20260417-170652-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,1,DEATH CLOUD ESPORTS,TRUE,FALSE,0,Mannfield (Night),37,13,12,12,33,14,9,10,34,8,10,16,33,20,10,3,37,14,12,10,63,22,16,24,15,4,8,3,18,7,5,5,74,31,23,21,26,6,6,14,8,11,4,9,2575,2757,2547,2496,476885,172151,135043,169691,258450,102778,81284,74388,205885,65522,49522,90841,188332,65131,43540,79661,17553,391,5982,11180,56,55,58,57,5,2,1,2,18,7,5,6,42,15,11,16,39,14,12,13,1,1,0,0,60,24,18,18,40,13,10,17,37,13,9,15,3,0,1,2,54,58,64,44,11,2,3,6,30,10,6,14,27,10,7,10,43,17,16,10,4,0,3,1,2785,916,1030,839,2689,1077,671,941,197,91,57,49,229,80,57,92,1326,540,360,426,1638,530,421,687,1491,528,362,601,147,2,59,86,6,2,3,1,3,1,2,0,3,0,3,0,5,2,2,1,7,2,4,1,3,0,2,1,495,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,5,1,2,2,1,0,1,0,18,0,18,0,82,0,82,0,67,75,71,59,18,0,18,0,25,0,30,32,74,34,16,24,18,5,9,4,24,3,10,11,249,36,181,32,864,405,182,277,1778.29,1047.04,672.04,59.21
Waarheid.,SSA-P-10298,Epic|c6452819adda4d2b90a9ad40ee2bda2e|0,Starter,2026-04-17T17:06:52.000Z,20260417-170652-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,1,MIDWEST MAFIA,FALSE,FALSE,0,Mannfield (Night),39,20,9,10,25,15,6,4,28,11,8,10,38,26,8,4,53,29,14,10,47,27,10,10,23,13,5,5,18,12,3,3,74,45,17,12,26,11,7,8,9,9,9,8,2228,2210,2442,2174,437318,232636,114275,90407,297276,156883,84191,56202,133684,72448,28416,32820,121521,67900,23936,29685,12163,4548,4480,3135,52,50,60,54,4,2,1,1,10,4,3,2,42,23,10,9,47,28,10,9,1,1,0,0,70,39,18,13,30,17,6,7,26,16,5,6,4,2,1,1,33,32,35,35,26,14,6,6,61,36,15,10,20,10,5,5,19,10,5,4,2,1,0,0,2273,1248,536,489,2276,1383,453,440,96,55,31,10,176,85,59,32,1389,773,323,293,1203,689,241,273,1051,624,202,225,152,65,39,48,6,3,2,1,5,2,1,2,1,0,1,0,6,5,0,1,7,6,1,0,5,3,1,1,301,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,35,33,2,0,63,35,77,0,0,0,0,0,12,33,1,0,0,0,0,0,69,40,17,12,14,7,3,4,2,2,0,0,119,88,0,31,826,478,204,144,1638,785,691,162
Peanuts米,SSA-P-10277,Epic|f462a2b50d5c4dd3a0871fbfeef77121|0,Starter,2026-04-17T17:06:52.000Z,20260417-170652-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,1,MIDWEST MAFIA,FALSE,FALSE,0,Mannfield (Night),26,13,4,8,41,23,9,9,41,11,9,20,31,23,6,1,55,32,8,15,45,22,12,11,8,3,3,2,8,4,3,2,59,41,12,6,41,12,8,20,7,8,8,7,2781,2730,3239,2840,446184,221892,96202,128090,272761,142149,67168,63444,165152,76618,27193,61341,149269,65418,27193,56658,15883,11200,0,4683,54,50,66,59,6,1,2,3,15,5,4,5,43,22,8,12,41,26,7,8,1,1,0,0,66,37,15,14,34,17,5,12,30,13,5,11,5,3,0,1,46,49,49,44,15,4,4,6,42,23,8,11,26,13,6,6,32,18,6,8,8,5,1,2,2314,1037,468,809,2089,1270,252,567,117,46,41,30,241,62,69,110,1192,695,193,304,1388,682,210,496,1184,539,210,435,204,143,0,61,1,0,1,0,0,0,0,0,4,0,3,1,3,2,0,1,3,1,0,2,1,1,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,1,2,1,230,100,39,91,56,53,69,34,83,0,83,0,58,100,20,91,41,0,41,0,67,37,9,21,22,8,5,9,32,17,0,15,320,141,45,134,772,427,108,237,1414.77,727.84,399.72,287.22
JeromeMoment,SSA-P-10297,Steam|76561199516862566|0,Starter,2026-04-17T17:06:52.000Z,20260417-170652-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,1,MIDWEST MAFIA,FALSE,FALSE,0,Mannfield (Night),39,24,8,6,38,23,8,7,34,17,8,9,35,27,6,2,60,39,10,11,40,22,11,8,19,11,4,4,20,10,6,3,76,51,15,10,24,9,6,9,8,8,8,9,2645,2449,3221,2961,465075,254800,108024,102251,267087,154511,57505,55071,188816,96726,48122,43968,162863,81717,42070,39076,25953,15009,6052,4892,56,51,67,66,8,2,2,3,18,6,5,6,41,23,9,8,40,30,6,4,1,1,0,0,63,39,12,11,37,21,9,7,32,18,8,6,5,3,1,1,42,47,36,35,17,8,5,4,46,24,13,9,25,17,3,5,28,20,5,4,7,5,1,0,2557,1341,678,538,2450,1677,354,419,75,15,18,42,330,87,100,143,1221,771,203,247,1523,866,368,289,1310,736,321,253,213,130,47,36,4,3,1,0,6,4,1,1,4,0,3,1,6,2,1,3,5,4,0,1,4,4,0,0,352,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,1,0,3,168,40,0,128,65,41,0,72,69,0,69,0,42,40,0,43,0,0,0,0,76,42,14,20,19,9,8,2,23,21,0,2,262,115,109,38,889,483,168,238,1930,993,668,269
2Die4,SSA-P-10001,Steam|76561198256947172|0,Starter,2026-04-17T17:09:26.000Z,20260417-170926-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,2,PIONEERS,TRUE,FALSE,0,Mannfield (Night),38,14,7,16,35,21,7,7,40,12,8,20,29,22,7,0,46,26,9,11,54,24,12,18,20,6,7,7,15,4,2,9,67,38,15,15,33,12,6,14,9,9,10,8,2701,2786,3274,2303,476743,223050,104724,148969,294631,154057,78240,62334,173797,65586,24878,83333,147118,63528,18882,64708,26679,2058,5996,18625,57,53,63,61,6,2,2,3,13,5,3,5,49,23,9,16,38,22,8,8,0,0,0,0,65,35,16,13,35,15,5,16,30,15,4,12,5,0,1,4,53,63,60,34,7,1,1,5,35,12,7,16,23,10,5,9,41,27,10,4,10,8,2,0,2534,1329,746,459,2461,1223,352,886,153,54,47,52,250,67,65,118,1405,746,252,407,1458,622,186,650,1227,602,139,486,231,20,47,164,1,0,0,1,2,0,1,1,5,3,1,1,3,0,1,2,7,4,0,3,6,2,1,3,404,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,33,0,33,0,61,0,61,0,83,83,0,0,33,0,33,0,55,55,0,0,74,42,9,23,18,10,5,3,25,16,0,9,374,194,124,56,863,488,108,267,1387.18,446.15,694.87,246.15
LuiisP,SSA-P-10275,Steam|76561198437927303|0,Starter,2026-04-17T17:09:26.000Z,20260417-170926-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,2,PIONEERS,TRUE,FALSE,0,Mannfield (Night),35,16,11,8,35,18,11,7,35,8,12,15,39,27,11,1,50,28,12,9,50,18,19,13,25,14,5,6,18,6,5,6,72,41,23,8,28,6,9,14,6,6,3,11,2779,2685,3243,2872,468496,209599,146214,112683,294848,138835,93170,62843,164861,67389,49677,47795,152164,64465,46639,41060,12697,2924,3038,6735,56,54,64,61,7,2,2,2,18,6,6,6,41,20,12,9,41,21,13,8,0,0,0,0,67,33,22,13,33,14,10,9,30,13,9,8,3,1,1,1,50,52,59,45,13,5,5,3,39,19,11,10,23,10,10,4,37,18,11,8,12,7,4,1,2554,919,1190,445,2485,1008,698,779,204,58,65,81,288,91,99,98,1230,518,365,347,1326,560,389,377,1205,522,363,320,121,38,26,57,1,0,0,1,1,0,1,0,4,0,2,2,6,4,1,1,9,5,2,2,5,4,0,1,423,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,1,1,1,2,0,1,1,161,0,83,78,69,0,55,83,65,82,33,80,81,0,83,78,0,0,0,0,66,37,11,18,20,8,10,2,48,19,11,18,336,264,66,6,744,425,121,198,1672.16,927.27,470.45,274.43
Sweaty,SSA-P-10056,Steam|76561198965054402|0,Starter,2026-04-17T17:09:26.000Z,20260417-170926-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,2,PIONEERS,TRUE,FALSE,0,Mannfield (Night),29,17,6,7,32,17,10,6,26,5,8,13,34,25,8,0,58,29,16,13,42,20,12,10,20,8,9,3,15,9,1,4,73,42,20,11,27,7,8,12,6,5,6,7,2857,2591,3159,3117,456594,201332,136823,118439,276178,119822,98529,57827,170071,77088,35769,57214,144307,66441,30158,47708,25764,10647,5611,9506,54,49,59,61,4,1,1,2,13,4,4,5,43,19,13,12,43,26,11,7,0,0,0,0,64,31,20,12,36,18,8,11,30,15,6,9,6,3,1,2,48,50,52,40,9,2,3,4,37,16,10,12,28,15,8,6,34,18,10,6,4,2,2,0,2546,894,780,872,2432,1164,570,698,178,37,98,43,168,51,42,75,1159,470,343,346,1473,729,304,440,1213,612,253,348,260,117,51,92,1,0,1,0,0,0,0,0,5,1,4,0,5,4,1,0,5,4,0,1,4,4,0,0,384,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,93,0,93,0,83,0,83,0,0,0,0,0,93,0,93,0,0,0,0,0,96,45,28,23,16,3,6,7,29,7,18,4,283,94,148,41,1123,533,318,272,2196,1216,557,423
GoldNiNja,SSA-P-10115,Steam|76561198294115607|0,Starter,2026-04-17T17:09:26.000Z,20260417-170926-2026-Paris Major-Open 6-GSL-UQF-G1,2026,Paris Major,Open 6,1,GSL,UQF,5,1,2,THE PUNISHERS,FALSE,FALSE,0,Mannfield (Night),33,10,8,15,30,16,8,7,33,8,9,16,35,24,7,4,51,25,11,15,49,18,14,16,20,7,8,5,13,5,4,4,67,37,16,14,33,7,8,17,6,6,11,4,2612,2817,3055,2186,483905,197809,128778,157318,256586,114397,67905,74284,215901,79372,57474,79055,180598,70063,43880,66655,35303,9309,13594,12400,58,54,68,60,6,2,2,2,19,7,7,5,47,19,12,17,33,18,6,10,0,0,0,0,57,27,14,16,43,17,11,16,36,15,9,13,7,2,2,3,40,44,40,37,16,7,6,4,53,21,15,18,20,10,4,7,26,13,6,7,6,3,2,1,2255,831,522,902,2111,825,453,833,129,45,56,28,257,78,85,94,906,329,197,380,1757,675,450,632,1446,600,344,502,311,75,106,130,2,1,0,1,4,1,0,3,7,2,4,1,8,4,1,3,4,4,0,0,0,0,0,0,227,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,2,174,0,0,174,73,0,0,73,58,0,58,0,87,0,0,87,0,0,0,0,73,34,18,21,16,4,5,7,31,3,20,8,262,84,122,56,845,405,196,244,1880,659,455,766
