Unique ID,Primary Handle,All Aliases,AKA,Real Name,Pronounciation,Date of Birth,Country,Twitch,Tiktok,Twitter,Photo URL,,,,,,,,
SSA-P-10001,2Die4,"Razzle Dazzle,Raz,2Die4, razzle dazzle,razzle dazzle, 2Die4,smoothoperator, 2Die4","Razzle Dazzle,smoothoperator",David Morganrood,,03/06/2005,South Africa,https://www.twitch.tv/2die4xd,,,https://liquipedia.net/commons/images/f/fc/FIFAe_World_Cup_2Die4.jpg,,,DaltonZzZ.,EXISTS,APAC,,,
SSA-P-10002,Arceon,"arceon.,arceon,arceon. ���,arceon. ☆,arceon. ✰,arceonxnz, arceon, arceon. ���, arceon. ���",,Umer Majiet,,20/10/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/arceon.jpg,,,JeromeMoment,EXISTS,APAC,MENA-P-10001,MENA-P-10001,
SSA-P-10003,Auriginal,,,Aurian Van Der Meer,,02/06/1995,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Waarheid.,EXISTS,APAC,OCE-P-10001,OCE-P-10001,
SSA-P-10004,BigFoot,"BigFootBoss26,BigFoot-26,BigFoot���,Yeti 26,BigFootッ","Yeti 26,BigFoot26",Koot Van Der Merwe,,26/04/2004,South Africa,https://www.twitch.tv/bigfootboss_26,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,S��lly.,EXISTS,APAC,EU-P-10001,EU-P-10001,
SSA-P-10005,BiscuitGalaxy,,,Byron Riemer,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Yab ��,EXISTS,APAC,,,
SSA-P-10006,Blade,,,Ian Conradie,,25/06/2004,South Africa,https://www.twitch.tv/BladeSA,,,https://rlesport.gg/downloads/player_pics/blade.jpg,,,kayvee,EXISTS,APAC,,,
SSA-P-10007,Bonzer,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Lorax,EXISTS,EU,,,
SSA-P-10008,Bread,,,Scott Jeffery,,,South Africa,https://www.twitch.tv/breadybread,,,https://rlesport.gg/downloads/player_pics/bread.jpg,,,mass,EXISTS,EU,,,
SSA-P-10009,Chace,,,Chace Green,,21/08/1998,South Africa,https://www.twitch.tv/chacerl,,,https://rlesport.gg/downloads/player_pics/chace.jpg,,,olam06,EXISTS,MENA,,,
SSA-P-10010,ChristianW,,,Christian Wentzel,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Wee_Casper,EXISTS,MENA,,,
SSA-P-10011,Crisp,"Crsp.,Crsp,CR!SP",,Christopher Erasmus,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,gunz,EXISTS,MENA,,,
SSA-P-10012,Creativix4,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Snowyy,EXISTS,NA,,,
SSA-P-10013,D3Funct,D3Funct.,,Ruben Luiz,,06/08/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/d3funct.jpg,,,S��lly.,EXISTS,NA,,,
SSA-P-10014,,,,,,,,,,,,,,Stake,EXISTS,,,,
SSA-P-10015,Darth,"Darth,Darth., cherry",Cherry,Ethan Deysel,,27/12/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/Darth.jpg,,,Sweaty,EXISTS,NA,,,
SSA-P-10016,dece1ver,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,devour (6ft),EXISTS,NA,,,
SSA-P-10017,Echo,"echo.,,echo >:3,echo.exe,echo!,echo.",,Thomas Wileman,,12/08/2003,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,eglerll,EXISTS,NA,,,
SSA-P-10018,Elf,,,Rick Thomas,,08/02/1992,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,halouest,EXISTS,NA,,,
SSA-P-10019,EliakimZA,"EliakimZA,Eliakim,Eli, EliakimZA",,Eliakim Foster,,14/04/2003,South Africa,https://www.twitch.tv/EliakimZA,,,https://liquipedia.net/commons/images/f/f9/EliakimZA.jpeg,,,insp1re,EXISTS,NA,,,
SSA-P-10020,AlbyTheDragon_,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,SkillSteal,EXISTS,NA,,,
SSA-P-10021,fearlesscarrot,,,Timothy Wolf,,16/05/2000,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Wiiilooo,EXISTS,NA,,,
SSA-P-10022,friction,"friction.,friction,Friction",,Alex Van Der Merwe,,27/09/2005,South Africa,,,,https://rlesport.gg/downloads/player_pics/friction.jpg,,,JeromeMoment,EXISTS,OCE,,,
