Team Name,Logo Link,Twitter,TikTok,Youtube,Twitch,,,,,TEAM 10
104 (ANNI),https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,SYNTHESIS
123,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,LOOKING FOR ORGANIZATION
2 1s MAINS 1 HALDEN,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,SPANISH PAP EN WORS
2/3RDS RULE!,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,NKANDLA STYLE
2DIE4,https://liquipedia.net/commons/images/f/fc/FIFAe_World_Cup_2Die4.jpg,,,,,,,,,OX GAMING
77BLOCKS,https://rlesport.gg/downloads/org_logos/77blocks.png,,,,,,,,,ROUNDS
9LIES ESPORTS,https://rlesport.gg/downloads/org_logos/9lies.png,,,,,,,,,FIVE FEARS
ABULBA,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,,PIONEERS
AIPX GAMING,https://rlesport.gg/downloads/org_logos/aipx.png,,,,,,,,,AMAPIANO
AKIMBO ESPORTS,https://rlesport.gg/downloads/org_logos/akimbo.png,https://x.com/AkimboES,,,https://www.twitch.tv/AkimboES,,,,,NEW DOGS OLD TRICKS
AMAPIANO,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,THE WAVE
ANARCHY GAMING,https://rlesport.gg/downloads/org_logos/anarchy.png,,,,,,,,,PROJECT ONE
ANTISOCIALES,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,BROCROCROS
ASTRONIC ESPORTS,https://rlesport.gg/downloads/org_logos/astronic.png,https://x.com/AstronicEsports,,https://youtube.com/@astronicesportsgg?si=u9frJLLefn1hY9zP,https://www.twitch.tv/AstronicEsports,,,,,SZ5
ATK,https://rlesport.gg/downloads/org_logos/atk.png,,,,,,,,,T2G ESPORTS
ATOMIC ESPORTS,https://rlesport.gg/downloads/org_logos/atomic.png,,,,,,,,,SUPERSONIC LEGENDS
AUFBAU,https://rlesport.gg/downloads/org_logos/aufbau.png,,,,,,,,,T2G ESPORTS
AUREON ACES,https://rlesport.gg/downloads/org_logos/aureon.png,,,,,,,,,SUPERSONIC LEGENDS
AUREON E-SPORTS,https://rlesport.gg/downloads/org_logos/aureon.png,,,,,,,,,
BALL EATER,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
BALLCHASERS,https://rlesport.gg/downloads/org_logos/ballchasers.png,,,,,,,,,
BARNEY & HIS DINOSAURS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
BIRD,https://rlesport.gg/downloads/org_logos/bird.png,,,,,,,,,
BONJOUR,https://rlesport.gg/downloads/org_logos/bonjour.png,,,,,,,,,
BOT GAMING,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
BRAVADO GAMING,https://rlesport.gg/downloads/org_logos/bravado.png,,,,,,,,,
