2021-22 ,,,,2022-23,,,,2024,,,,2025,,,,2026,,
,,,,,,,,,,,,,,,,,,
1,ORLANDO PIRATES,3006,,1,LIMITLESS,176,,1,LIMITLESS,92,,1,FUT ESPORTS,106,,1,FIVE FEARS,43
2,BRAVADO GAMING ,2713,,2,VALIANT,109,,2,TEAM MOBULA,65,,2,LIMITLESS,54,,2,PIONEERS,35
3,ATK,2040,,3,ORLANDO PIRATES,108,,3,ASTRONIC ESPORTS,64,,3,HEY (WITH RIZZ),47,,3,BROCROCROS,19
4,AIPX GAMING,1790,,4,NIXUH,104,,4,9LIES ESPORTS,46,,4,LE BOSH ,32,,4,AMAPIANO,14
5,DNMK ESPORTS,1780,,5,WHITE RABBIT GAMING,94,,5,77BLOCKS,33,,5,COSMICO ESPORTS,25,,5,DEATH CLOUD ESPORT,11
6,DIGITAL DEVILS,1570,,6,AIPX GAMING ,77,,6,SNAKES DEN,28,,6,77BLOCKS,23,,6,LOOKING FOR ORGANIZATION ,11
7,ICE ESPORTS,1080,,7,RED CROWN ESPORTS,55,,7,THE ELITES,27,,7,AKIMBO ESPORTS,18,,7,ASTRONIC ESPORTS,9
8,NIBBLE ESPORTS,870,,8,NKOSI BALLERS,44,,8,STRASKIBIDI,18,,8,GENESIX,13,,8,SYNTHESIS,9
9,TEAM ESPIONAGE,850,,9,OMNIUS GAMING,43,,9,BIRD,14,,9,BALL EATER,10,,9,STR1VE ESPORTS,6
10,EVOLVED GAMING,840,,10,TEAM FUSION ,39,,10,ONLYPHANS,14,,10,MUSTU FLUCK ,7,,10,WHITE RABBIT GAMING,6
11,UNITY,460,,11,UNITY,27,,11,BTF ESPORTS,13,,11,PONKEY NO JUTSU ,7,,11,UNITY,5
12,MILLENNIAL TIMES GAMING ,340,,12,COSMICO ESPORTS,24,,12,GENESIX,13,,12,TEAM HSK,7,,12,ROUNDS,3
13,SYNGERGY GAMING,230,,13,LUPO ROSSO ,23,,13,THE PUNISHERS,12,,13,DEATH CLOUD ESPORT,6,,13,TEAM HSK,3
14,SUNMOON ESPORT,160,,14,ASTRONIC ESPORTS,21,,14,NIXUH,11,,14,HAIBO,6,,14,TEAM NOTAR,3
15,SWEATY'S CHILDREN,130,,15,ICE ESPORTS,18,,15,104 (ANNI),9,,15,TRADUIS SI TU PUES,6,,15,THE PUNISHERS,2
16,AUREON ACES,80,,16,TEAM ESPIONAGE,12,,16,TEAM FLOEPPA,9,,16,RELENTLESS,5,,16,AKIMBO ESPORTS,2
